TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"UC Santa Barbara",87.771482119119,111.5276657877,0.059823758313391,0–1,0,1,37.2,57.1,42.6,18.2,25.7,12.9,10.8,57.9,70,28,50.9,31.8,50,1.8,12,64.3,66.7,46.8,26,70.5,,,,2021,,,,-0.076776969522058,50,100
"Arkansas Pine Bluff",70.537084685715,84.146556121734,0.11620738014233,0–1,0,1,29.2,54.5,30.8,29.9,21.6,17.8,27.7,26.3,78.8,25.6,55.6,23.1,35.5,11.1,12.8,43.8,58.1,40,46.3,73.3,,,,2021,,,,-0.23263279288093,70,65
Indiana,110.37136790174,81.012176657108,0.97225033929334,5–4,5,9,46.2,47.3,33,27.2,15,17.7,28.1,25.4,74.3,49.8,43.8,23.4,38,8.4,6.8,40.6,43.1,24.1,26.5,72.2,,,,2021,,,,2.6276758982344,72.5,76.6
"Central Michigan",117.24683333333,98.337333333333,0.88314886733722,0–2,0,2,50,58.2,17.1,38.8,14.7,16.1,20.8,28.1,71.6,49.3,60,33.9,33.3,5.3,11.9,46.3,67.2,48.1,18.1,71,,,,2021,,,,-0.43744551728535,72.7,82.2
Montana,88.3035,76.413166666667,0.84066499877046,0–1,0,1,42.2,35.2,21.6,34.4,29,21.4,31.3,40.9,65.5,50,32.6,17.6,27.8,7,11.8,40,47.4,33.3,29.5,69.7,,,,2021,,,,-0.20442327247002,72.7,71.4
Tulane,85.003833333333,69.011333333333,0.91659018905754,0–1,0,1,32.8,39.5,26.6,9.7,17.6,23.5,34.1,37.1,68.1,39.6,37,0,31.3,10.9,5.7,28.6,40.9,17.2,25.8,73,,,,2021,,,,-0.25730019936787,52.9,100
BYU,96.614455829447,73.322170308683,0.95978431765405,1–2,1,3,45.9,40.6,14.6,25.6,25,23.4,23.5,34.9,62.7,46.2,36.4,30.2,35.9,8.3,5.8,56.3,46.6,33.8,24.4,66.7,,,,2021,,,,0.14531794135167,65.2,78
Xavier,78.54478031924,96.890588031366,0.082110966618752,0–2,0,2,31.8,62.4,19,41.3,28.4,22.4,27.6,42.1,75.8,34.1,65.1,16.7,37.1,4.7,15.4,52.8,75.4,24.8,28.9,75.1,,,,2021,,,,-0.085312442009424,60.9,76
"Wake Forest",104.48651884921,83.736941071429,0.92729388144539,3–5,3,8,42.4,47.6,34.3,16.2,19,16.4,31.5,31.6,67.8,42.8,44.9,27.6,36,5,8.9,41.8,56.2,29.1,29.2,67.8,,,,2021,,,,1.1766513963177,72.8,72.3
Seattle,84.455469879794,121.32564347324,0.015278405153754,0–1,0,1,30.2,59.3,27,32.1,18.4,3.9,18.8,50,76,38.1,66,9.5,32.3,2,9.5,55.6,51.2,33.3,38.3,78.2,,,,2021,,,,-0.12507794968409,76.5,76.9
Villanova,94.085656944444,92.3745,0.55257454790751,0–3,0,3,34.9,54.2,7.1,31.7,18.9,14.6,23.9,33.7,68.7,37,55.6,21.9,31,5.3,10,77.6,63.4,49,16.1,68,,,,2021,,,,-0.42073973172171,78.6,77.2
Maryland,133.48794280837,84.513240503628,0.99481446816693,9–2,9,11,56,49.7,33.1,26,18,19.4,37.2,34.4,75.6,51.5,47.7,43.9,36,6.9,6.2,60.5,51.4,31,30.7,74.3,,,,2021,,,,6.0927711641245,77.7,70.5
Rice,97.907666666667,74.090666666667,0.96103907417228,0–1,0,1,47.9,41.2,19.1,24.6,29.7,20.3,22.2,34.3,64.1,41.7,41.3,45.5,27.3,6.5,11.1,50,27.3,23.4,19.3,63.9,,,,2021,,,,-0.17732236781432,88.9,71.4
"Abilene Christian",94.35354263382,94.633336168575,0.49148798806725,0–1,0,1,47.3,52.3,17.9,23.4,29.8,22.7,30.6,43.2,70.5,52.6,48.9,29.7,41.2,4.3,31.6,71.4,46.7,66.1,26.6,70.3,,,,2021,,,,-0.17732236781432,60,66.7
"Boston College",108.2366691358,94.913849382716,0.81913998503362,0–5,0,5,45.4,57.3,16,33.1,21.2,21,31.9,36.3,72.5,41.2,58,35.8,37.3,4,6.9,48.4,46.1,33.5,33.8,73.8,,,,2021,,,,-0.8443336443141,71.2,77
Arizona,106.58031082039,71.860915808293,0.98936499156786,4–4,4,8,41.6,42.3,29.6,31.6,17.9,21.2,27,29.5,67.5,38.1,41,32.7,30.6,9,9.3,45.7,48.9,32.1,27.2,68.6,,,,2021,,,,2.6583623902401,67.4,70.8
"Penn St.",103.29042742805,87.750385315588,0.86704235206202,1–9,1,10,45.4,53,20.4,22.8,24.4,16.7,30.6,33.3,73,41.3,55.7,34.9,30.9,5,12.1,56.2,60.7,37.3,29.5,71.8,,,,2021,,,,-1.1504680093874,66.1,72.7
"San Diego",81.778453608247,89.146082474227,0.2705133063388,0–1,0,1,32.4,50,39.2,21.7,27.2,21.1,32.5,35.3,66.3,23.7,47.7,38.5,37.5,2.3,7.9,57.1,63,25.5,26.7,70.5,,,,2021,,,,-0.37031547837078,70,69.2
"UC Davis",105.44277108434,77.040963855422,0.97363649453376,0–1,0,1,46.6,44.4,6.9,21,19.9,12.3,21.6,25.6,65.2,41.4,45.5,34.5,27.8,2.3,17.2,81.8,44,50,29,67.2,,,,2021,,,,-0.12507794968409,75,61.5
LSU,97.342460441807,77.793037181248,0.92943932341336,2–7,2,9,40.4,48,26.8,38.7,23.9,26.6,31.3,33.9,68.7,39.3,47.5,30.5,33,8.1,7.5,43.7,47.8,18.2,24.2,67.4,,,,2021,,,,-0.14439637551791,67.1,66.8
"Fresno St.",95.1025,95.353166666667,0.49243275804306,0–1,0,1,40.8,48.1,30,18.2,16.2,20.3,16.7,57.1,74,47.2,38.6,20.8,50,1.8,11.1,50,46.9,40,26,74,,,,2021,,,,-0.30616352554327,72.2,64.3
Baylor,110.85648228458,69.162196174988,0.99561640535818,9–2,9,11,46.9,37.4,28.5,30.8,23.7,21.1,40.9,25.7,74.1,45.6,33.7,37,31.4,10.5,6,59.7,46.4,13,27.6,73.6,,,,2021,,,,5.9364310758444,71.3,75.8
"Oral Roberts",72.619714256486,81.605319285931,0.20725245391263,0–2,0,2,31.2,43.2,35.2,34.2,29.5,19.8,29.9,41.7,83.1,31,41.7,21.1,30.5,3.1,14.9,22.9,39.7,30.4,38.1,79.7,,,,2021,,,,-0.42422905552115,56.8,66
Ohio,126.8295,97.707,0.95257459189733,0–1,0,1,52.3,58.9,21.5,37.1,17.7,17.7,29.7,32.4,73.6,47.5,59.1,40,38.9,2.3,5,31,69.7,38.5,29,73.6,,,,2021,,,,-0.22578597862594,78.6,65.2
