TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"UC Santa Barbara",110.874,89.047,0.92561101275091,0–1,0,1,53.3,54.4,28.3,19.3,30.5,28.9,31,53.1,62.3,42.3,56.4,45,33.3,7.7,7.7,65,50,43.5,31.6,62.9,,,,2023,,,,-0.40095444628136,61.5,54.5
Indiana,129.10779666386,80.800988484044,0.99545681134833,6–2,6,8,56.3,47.7,33.5,33.1,17.4,16.1,28,22.1,72.4,53.9,46.8,40.6,33.1,10.7,7.9,59.3,52.7,33.5,32.4,69.1,,,,2023,,,,4.0470005578963,74.4,71.3
Louisiana,76.744194346803,84.617726201292,0.2454257186662,0–2,0,2,29.9,48.6,58.7,48.6,32.9,25.9,27.3,34.3,71.4,26.2,50,25.9,30.8,1.5,10.8,58.3,73.9,29.3,36.4,71.9,,,,2023,,,,-0.40133160403079,61.1,71.2
Columbia,111.62016666667,103.9725,0.6934324951577,0–1,0,1,50,62.9,22.1,40.3,18,15.4,22.7,26.7,77.8,26.9,61.8,42.9,42.9,5.9,15.4,68,75.8,61.8,45.2,77.4,,,,2023,,,,-0.14489746438522,53.3,84
Montana,102.293,94.122333333333,0.7225864538574,0–1,0,1,51,56.3,11.5,12.7,33.8,22,28.1,41.2,68.1,34.2,54.3,64.3,39.3,5.7,10.5,50,56.7,26.9,44.4,70.5,,,,2023,,,,-0.32670732049035,66.7,75
UAB,103.80162639895,99.692006784778,0.61409433031857,0–1,0,1,39.1,65.2,35.9,26.1,10.5,17,11.1,46.7,76.5,43.2,67.2,20,36.4,1.7,13.6,34.8,34.9,31.3,15.9,74,,,,2023,,,,-0.095624092876464,60.9,50
Tulane,120.12833333333,95.300166666667,0.93478238434271,0–1,0,1,55.1,62.5,18.6,31.7,21.1,18.3,21.9,37.9,71.1,59.4,53.3,33.3,60,2.2,15.6,60.7,54.5,45.8,25,68.8,,,,2023,,,,-0.1434552855195,63.6,52.6
BYU,95.403666666667,90.133,0.65781057090278,0–1,0,1,42.2,62.3,22.4,28.3,21.3,16.8,31.6,20,65.7,43.5,67.7,25,36.4,6.5,10.9,43.5,55.2,20.7,41.5,62.1,,,,2023,,,,-0.32141030845925,76.9,66.7
Xavier,80.579363314016,82.554245529687,0.43083388518709,0–7,0,7,36.2,50.9,16.8,26.5,25.4,23,22.2,34.7,67,37.5,49.8,21.8,35.3,10.5,13.5,57.6,72.7,26.9,34.6,68.4,,,,2023,,,,-1.5568271149033,74.6,76.9
Charlotte,81.379699497688,99.61695912903,0.089043057794094,0–1,0,1,32.3,63.6,10.8,21.4,14.3,15.6,6.8,29.7,76.8,34.9,54.9,18.2,57.9,3.9,16.3,36.8,46.2,33.8,27.1,75.5,,,,2023,,,,-0.22917774040453,85.7,46.7
"Wake Forest",94.949211919274,83.650772151096,0.81106604996241,2–7,2,9,41.3,48.5,27.8,26.3,23.1,21.1,21.3,31.5,67,38.2,48.8,30.8,31.8,7.5,8.5,52.7,53.5,39.5,25.5,65.8,,,,2023,,,,-0.3128288371143,70.8,71.3
Northeastern,71.156338526912,96.794617563739,0.028231265225247,0–1,0,1,25.9,57.6,25.9,39.4,40.4,22.1,32.6,52.9,76.8,16.1,61.9,26.1,33.3,9.5,19.4,72.7,55.9,42.6,36.4,75,,,,2023,,,,-0.059402953881742,78.6,84.6
"Robert Morris",86.039277160049,99.146106361848,0.16374916565515,0–1,0,1,41.5,51.4,19.7,38.9,11.7,16.8,20,46.3,77.2,38.2,50,29.7,35.7,0,14.7,62.5,62.5,52.1,38.9,69.7,,,,2023,,,,-0.25028357962762,42.9,71.4
Seattle,84.95912422477,101.58569817703,0.11350547619853,0–1,0,1,38.8,50,3.4,34.8,30.6,11.6,28.9,51.4,68.7,40.5,50,23.8,33.3,6.3,21.6,55,54.8,36.2,30.4,68.5,,,,2023,,,,-0.26799525364326,100,87.5
Villanova,108.82111584602,80.480971560491,0.96980366522615,3–6,3,9,40.8,47,22.3,33.7,14,22.7,28.2,32.3,65.1,43.3,43.4,24.1,38.1,12.1,6.3,53.3,53,35.7,26.2,65.3,,,,2023,,,,0.89885992651487,72.1,76.5
"Utah St.",92.20932353278,109.02408713614,0.12715653879573,0–1,0,1,35.7,65.4,6.3,28.8,29.8,26.8,38.1,45.8,67.2,34.1,61.3,26.3,47.6,6.5,25,50,82.8,30.2,40.4,69.8,,,,2023,,,,-0.30464254296667,75,73.3
Marist,73.739649588547,74.055538306848,0.48771274474348,0–1,0,1,27.9,38.6,26.9,25.8,28.7,20.7,29.3,53.2,62.8,26.3,47.7,21.4,13.6,11.4,21.1,15.4,50,26.9,33.3,66.1,,,,2023,,,,-0.29069196908591,64.3,52.9
Toledo,101.06858333333,83.248166666667,0.90297200986151,1–1,1,2,46.1,46.8,21.6,28.8,24.6,22.3,16.7,32.3,67.2,42,51.1,36.4,19,0,17.4,56.1,50,32.4,18.9,68.3,,,,2023,,,,0.43286163628722,81.8,68.8
"Cal St. Northridge",77.736893558632,103.19415917499,0.037049529546981,0–2,0,2,31.5,59.9,39,57.8,27.1,13.2,16.5,31.7,71.9,36.9,58.7,14.3,41.5,4,23.1,48.3,55.7,35,35.3,71.9,,,,2023,,,,-0.35178927877973,61.5,77.6
Maryland,116.95834826762,81.003045629111,0.98557564625906,5–4,5,9,47.9,52.2,27.3,28.8,17.7,23.6,28.3,35,75.2,45.1,54.9,36,32,5.5,8.6,54.5,68.3,31.9,38.9,72.7,,,,2023,,,,3.6675012255111,80.5,65.4
"Boston College",92.573222151509,85.092814698532,0.72491200042843,1–7,1,8,39.8,50.3,27,26.8,26.7,23.7,29.1,37.1,71.6,39.6,50.3,27,33.6,9.4,8.3,55.2,57.8,27.9,25.8,71.7,,,,2023,,,,-0.80777050422133,68,68.5
Arizona,108.7784339154,83.039545230557,0.95709670361311,5–7,5,12,43.8,47.1,25.7,34.8,15.7,23.6,28.1,38.8,68.6,45,47.6,26.9,30.6,9.3,9.2,46.1,61.5,26.6,31.4,68.5,,,,2023,,,,1.8092011910754,70.6,71.1
"Penn St.",98.626593168605,91.715916424419,0.69749920690232,0–5,0,5,42.5,59.8,23.5,32.1,20.4,20.2,22.8,34.9,73.4,43.7,61.9,26.9,37.1,3.6,5.5,56,71.4,35.2,34.8,70.6,,,,2023,,,,-0.92509179935948,73.6,80.4
Hawaii,70.3585,80.585666666667,0.17353936866209,0–1,0,1,30.4,45.8,28.3,26.7,29.9,20.9,14.3,37.8,66.9,30.8,44.7,20,31.8,0,19.2,41.7,54.2,43.5,36.7,68.2,,,,2023,,,,-0.16262431185449,84.6,81.3
LSU,122.18328680521,77.799461373408,0.99446415174041,5–2,5,7,45.1,46.5,38.1,29.7,19.5,23.3,38.2,34.8,72.8,43.3,47.8,34.3,28.3,9.6,9.6,49.2,46.7,21.9,24.8,73,,,,2023,,,,3.1623366812195,70.9,63.8
"Fresno St.",95.468378228355,102.80639213619,0.2990966468261,0–1,0,1,43.6,57.8,17,14.1,36.1,20.4,35.7,58.6,63.7,34.5,62,38.9,28.6,8,17.2,64.7,62.9,38.3,21.9,64.4,,,,2023,,,,-0.21056151714859,87.5,88.9
Baylor,107.61048057689,78.012004493489,0.97585027715149,6–5,6,11,43.7,45.6,28.4,27.5,19.4,22,30,34.1,72.6,43.2,44.7,30,31.7,7.2,11.2,56.4,50.7,28.9,32,71.6,,,,2023,,,,3.3445440843561,69,74.7
"Oral Roberts",89.888973144674,96.998377908534,0.29413850882847,0–2,0,2,43.3,55.6,26,25.6,21.6,15.5,26.5,29.1,90.3,41.4,52.8,31.4,40.7,15.1,10.1,40.4,61.5,34,33.8,85.3,,,,2023,,,,-0.53282310678916,76.9,73.2
"Northern Illinois",84.122087344452,93.787104535788,0.22257564173166,0–1,0,1,31.2,52.1,8.7,23.9,29.1,10.6,36,28.9,75.6,26.9,50.9,29.4,37.5,3.6,17.3,42.1,64.7,24.6,22.5,75.2,,,,2023,,,,-0.13426689482122,83.3,82.4
"Georgia Tech",101.843427781,87.005916036582,0.85945801397898,1–7,1,8,43.5,49.5,19.3,26.1,21.8,18.1,23.9,33.2,67,42.8,48.9,30.1,34.3,4.1,6.6,52.8,47.9,29.5,22.3,66.4,,,,2023,,,,-1.0496606677905,66.7,65.9
"Kent St.",91.665166666667,67.985833333333,0.9688318882347,1–0,1,1,39.7,35.2,29.3,27.9,18.8,14.5,22.5,22.7,69,43.6,36.8,21.1,21.7,10.5,2.6,23.8,52.6,32.8,37.7,68.5,,,,2023,,,,0.71746047283846,76.5,76.5
"High Point",120.54096459206,102.9774856588,0.85948409391106,0–1,0,1,59.2,59,20.4,26.2,26.1,13.8,20,44.4,65.2,53.1,68.2,47.1,23.5,4.5,18.8,52,61.8,34.7,27.9,67.5,,,,2023,,,,-0.16820898668513,80,87.5
"Weber St.",74.642098097599,83.03220207752,0.22705349305084,0–1,0,1,41.1,49.2,40,43.8,39.2,20.2,12.9,36.8,79.1,25,48.8,53.8,33.3,14,18.8,66.7,57.1,28.9,32.8,74.9,,,,2023,,,,-0.32141030845925,83.3,89.3
Maine,86.062009663723,91.284279941032,0.33682600395416,0–1,0,1,41.2,51.6,7,22.6,26.1,18.9,22.2,37.5,69,33.3,61.7,38.9,13.3,4.3,12.8,55,41.9,31.6,24.2,68.3,,,,2023,,,,-0.31491635820981,50,85.7
"Incarnate Word",80.181971373673,88.818162202152,0.2357067067231,0–1,0,1,39.5,44.5,23.3,34.4,31.8,16.7,10.3,43.9,66,32.4,48,44.4,21.4,2,20.6,60,59.3,20.9,21.9,64.6,,,,2023,,,,-0.27817466806095,80,63.6
SMU,94.352166666667,83.797166666667,0.79645815044659,0–2,0,2,39.1,50,27.3,22.6,20.6,14.6,27.4,22.5,75.4,41.2,41.2,23.3,43.8,5.9,7.1,60,67.9,33.6,36.1,70.7,,,,2023,,,,-0.52845824768857,82.9,73.3
Richmond,92.964,119.21016666667,0.054178445007435,0–1,0,1,36.7,64.9,13.3,22.4,23.7,18.4,11.6,41.4,76.1,30.3,61.4,29.6,47.8,4.5,21.2,61.1,65.8,45,34.3,78.8,,,,2023,,,,-0.25853564641548,62.5,86.7
Providence,97.516080883519,91.442200249553,0.67690126745482,1–6,1,7,41.8,56.1,27.5,15.6,20.9,17.1,23.8,28.5,67.7,41.1,51.9,29.4,41.5,8.5,7.9,47.3,74.6,21.9,39.9,69.1,,,,2023,,,,-0.55682711490327,63.6,68.7
Louisville,115.28458996931,80.411876273514,0.98436956916108,4–6,4,10,45.8,45.9,28.1,36,21.9,21.8,35.2,28.5,68.9,44.9,46.9,32.4,28.9,7.7,5.3,49.2,48.7,24.7,27.5,68.5,,,,2023,,,,1.817747306965,74.4,75.9
Davidson,84.23088647983,85.976891832134,0.44128608877108,0–3,0,3,38.2,53.5,7.6,24.4,31.2,24.4,28.8,37.9,68.4,39.3,58.6,24.7,29.5,6.3,14.6,54.5,57.8,47.6,35.5,67.6,,,,2023,,,,-0.61171773865911,46.2,64.3
"North Florida",53.742046211851,101.79662038178,0.00064476214722782,0–1,0,1,28.4,61.6,0,10.1,45.9,13.3,20.6,38.9,67.5,22.7,66.7,22.7,38.5,6.7,27.3,60,65.7,50,56.5,68.8,,,,2023,,,,-0.30425628339998,0,57.1
Vanderbilt,107.14010787319,98.460371088667,0.72542981607045,0–9,0,9,43.3,58.6,29.1,31.3,22.2,21.4,25.4,47.3,70.1,38.2,58.5,34.9,39.2,4.9,16.4,51.3,55.7,36,28.9,69.4,,,,2023,,,,-1.8463165658561,76,69.6
"Washington St.",108.22969129862,81.503796661052,0.96308311083288,6–7,6,13,48,44.2,25.9,25.4,24.1,19.2,31.1,33.3,65.7,45.8,42.7,35.2,31.4,10.9,6.4,64,49,32.2,33.6,65.5,,,,2023,,,,2.4815332016804,74.6,81.5
"Bowling Green",87.890166666667,90.3225,0.42215461388621,0–1,0,1,39.7,64,17.6,19.1,19.6,22.1,17.8,33.3,81.5,39.1,67.3,27.3,36.8,4.1,13,50,62.5,32.4,27.9,80.7,,,,2023,,,,-0.099088242371382,58.3,69.2
Memphis,103.74558333333,83.682166666667,0.92212174605569,0–2,0,2,37,50.8,35,30,15.5,14.8,27.4,35.6,70.8,35.2,51.5,28.1,32.3,3,12.1,41.5,59,26,23.8,71.2,,,,2023,,,,-0.1647501993451,62.8,66.7
American,86.54986605096,94.80292119727,0.25972196887216,0–2,0,2,36.8,54.1,24.8,47.9,23.3,19.3,18.8,37.9,75.1,37.8,56.3,22.2,32.4,2.3,12.2,65,51.7,23.1,28.1,76.7,,,,2023,,,,-0.33762389911383,72.4,72.4
"Notre Dame",104.72523406546,76.393571465838,0.97410774052946,5–5,5,10,45.4,42.7,27.5,24.2,23.8,19.9,30.3,29.5,69.5,47,41.5,27,30.7,8,9.4,52.3,55.5,24,26.7,69,,,,2023,,,,2.7313268109007,68.2,77.7
Creighton,105.7283920068,81.690190731293,0.95102845945293,2–5,2,7,44,45.7,23.5,22.2,17.1,17.1,21,31.5,63.7,41.6,48.4,31.5,26.4,6.4,6.3,55.2,63.3,42.3,30.8,64.8,,,,2023,,,,0.77086565903749,76.7,67.8
Duke,97.275835840149,73.319476663113,0.96272086598587,6–6,6,12,39.9,44.3,25.6,29.5,22.9,25,30.6,29.1,66.6,37.3,42.1,30.9,34.2,13.7,5.9,50,43.1,28.9,24,65.8,,,,2023,,,,3.2254639164859,75,71.7
