TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"Arkansas Pine Bluff",122.95666666667,88.649666666667,0.97729285557796,0–1,0,1,45.2,48,16.4,34.2,13.3,11.9,26.5,42.9,75.4,42.9,48.1,32.3,31.8,7.4,9.5,35.7,51.5,42.5,28.9,77.7,,,,2024,,,,-0.13820469155695,66.7,46.2
Toledo,94.484333333333,91.1455,0.60198298128915,0–2,0,2,38.6,56.8,23.6,39.1,19.7,23.9,24.7,38.9,71.2,42,57.5,20,36.7,3.8,12.5,34.1,45.6,28.5,27.3,72.9,,,,2024,,,,-0.34018197216865,69,83.7
Indiana,122.36805058288,84.415260465024,0.98620800339477,5–3,5,8,56.5,52.9,27.2,23.3,20.2,17.9,24.9,27.2,71.8,56.3,50.2,37.8,38.5,8.6,8.1,61.8,52.6,38.8,36.6,69.2,,,,2024,,,,3.317800987429,75.4,75
Louisiana,100.38329372928,84.693863031631,0.87593165713929,0–1,0,1,41.4,51.9,20.7,72.2,24,24,19.5,57.6,70.7,38.3,59.5,36.4,23.5,2.7,14.9,18.2,73.1,19,31.5,64.9,,,,2024,,,,-0.07684200384098,41.7,69.2
"Central Michigan",95.053115029976,95.147775479438,0.49713833260859,0–1,0,1,44.9,54.8,39,15.1,26,11.7,33.3,23.7,77,44.2,52.4,31.3,38.7,9.5,11.6,62.5,85.3,27.1,42.5,74.1,,,,2024,,,,-0.20706778586327,60.9,100
Brown,107.13170731707,101.655,0.64644612594152,0–1,0,1,53.9,49.3,23.5,18.8,26,12.2,21.4,48.7,65.5,39.3,50.9,47.8,28.6,5.5,21.4,72.7,34.4,45.1,20.3,69.2,,,,2024,,,,-0.32533119959683,66.7,61.5
Columbia,111.42404411765,92.831759803922,0.89084238568536,0–2,0,2,49.1,50,17.1,23.8,25.8,17.7,35.3,39.3,67.9,50,54.5,31.7,19,4,7.9,47.1,55.9,35,17.2,70.7,,,,2024,,,,-0.68995127766863,60,82.8
Tulane,115.02583333333,87.2895,0.95981147745015,0–1,0,1,48.3,55.7,27.6,14.8,15.9,14.5,17.1,22.6,69,44.4,65.5,36.4,31.3,3.4,11.1,41.7,51.7,37.9,52.5,71.4,,,,2024,,,,-0.26245983502002,87.5,88.9
BYU,104.67151901358,87.503250636681,0.88697801146657,1–7,1,8,45.5,49.9,21.8,28.3,24.9,16.6,31.7,28.4,69.4,41.2,48.2,35.8,35.2,6.1,10.7,68.5,62.7,34,36.1,68,,,,2024,,,,-0.94625106789006,64.7,70.3
Xavier,81.182370978925,97.543849906864,0.10798940650302,0–4,0,4,39.3,58.6,15.1,15.7,28.8,17.5,16.5,43.7,68.6,36.4,59.7,28.4,38.1,1.9,14.5,50.7,72.6,46.3,42.3,69.9,,,,2024,,,,-1.0301009643194,87.1,83.3
Charlotte,83.39225,91.988583333333,0.24448335188338,0–2,0,2,29,49.2,45.7,53.3,27,17.8,18.3,33.8,75.9,30.3,47.1,17.2,34.6,10,18.4,53.6,70.6,27.6,42.6,74.1,,,,2024,,,,-0.32537671382315,79.2,73.8
"Wake Forest",105.14338329222,93.347508199449,0.79712988214163,0–5,0,5,46,58.3,19.6,31.6,23.1,23.6,23.2,38,67.7,43.3,54.5,33.7,44.6,3.2,11.1,48.6,56.4,37.8,30.5,67.4,,,,2024,,,,-1.1163949868162,75.9,77.9
"Florida Atlantic",94.115914362834,95.905356146497,0.44606101632934,0–1,0,1,45.7,47.9,39.1,15.5,26.9,13.5,21.4,40.5,66.9,48.4,42.2,26.7,38.5,6.7,3.2,26.3,69,32.6,36.6,67.2,,,,2024,,,,-0.28693531655507,61.1,81.8
Seattle,80.070760741838,97.415444745312,0.094931833018549,0–1,0,1,38.3,49.2,26.7,44.6,29.7,14.2,26.1,33.3,77.4,35.5,56.5,27.6,21.1,4.3,22.6,68.4,66.7,48.3,29.2,76.6,,,,2024,,,,-0.28193431436575,37.5,86.2
Villanova,104.94852223078,84.05154878004,0.92780536956573,0–5,0,5,40,53.5,11.9,22.5,16,18.7,26.4,32.2,65.1,43.9,53.1,21.2,36.4,7.1,8,53.5,65.4,31.8,31,65.4,,,,2024,,,,-0.87817310617014,83.8,76.6
Howard,93.478166666667,79.029,0.87336003831818,0–1,0,1,39.8,37.5,27.8,39.1,25.1,20.9,21.6,37.8,71.8,37.8,50,29.4,9.1,4.8,16.2,36.8,52.2,31.5,34.4,73.9,,,,2024,,,,-0.35288067045946,73.3,76
"Cal St. Northridge",79.614840176123,103.56021619735,0.046355260721571,0–1,0,1,36.4,62.8,21.8,40.5,29.2,15.8,5.3,52.9,82.2,14.7,70.6,47.6,30.4,3.9,11.8,53.3,67.4,38.2,31.1,81.6,,,,2024,,,,-0.065951384718748,66.7,60
Maryland,112.67737791494,89.381770547639,0.93484045517029,1–10,1,11,45.1,54.2,28.6,31.5,20.2,17.7,30.5,33.2,74.9,43.9,55.6,32.3,34.9,5.9,10,53.3,65.9,27.4,40.2,72.6,,,,2024,,,,-0.90744469034483,77,78.5
Rice,103.77316666667,91.907333333333,0.80161294754888,0–1,0,1,47.7,57.4,21.9,21.3,16.8,21,27.8,33.3,71.4,56.5,57.1,16.7,38.5,0,10.9,44.8,63.3,28.1,42.6,73,,,,2024,,,,-0.31365470120932,78.6,76.9
"Boston College",101.94454271309,90.980926573139,0.78725524707346,0–8,0,8,39.9,56.4,24.2,31.2,22.3,24.3,33.8,41.7,72.3,40.1,58.1,26.3,34.6,4.4,10.2,41.1,54.5,26.9,27.9,71.3,,,,2024,,,,-1.6036903459752,62.6,73.2
Arizona,105.9173219758,81.899113628207,0.95061499780775,2–11,2,13,43.7,52.8,28.4,34.5,19.6,26.3,25,38.4,69.5,42.4,53.3,32.3,34.5,8.5,9.3,55.1,61.2,20.6,33.6,69.7,,,,2024,,,,-0.38405213156633,77.5,72.7
"Penn St.",105.90478335242,85.176147313399,0.92448589587317,0–9,0,9,48.8,52.9,26.9,40.3,25.4,20.3,28.2,31.1,79.3,49.7,52.2,31.2,36,7.1,10,45.7,59,32.9,36.7,76.3,,,,2024,,,,-1.5980201866291,70.4,76.7
Hawaii,76.344833333333,91.035916666667,0.11671341451523,0–2,0,2,32.1,52.5,20.8,28.3,25.7,16,11.5,47.9,72,25,56,28.6,28.9,5,20.3,75,58.2,39.6,27.5,71.9,,,,2024,,,,-0.14155308981454,81.8,69.2
"San Diego",98.431638400718,93.210553555228,0.65175564130418,0–4,0,4,40.4,53,24.1,34.8,25.2,19.1,38.4,42.4,70.5,38.1,53.1,33.3,35.2,2.8,9.1,53.8,64.2,19.6,28.4,71,,,,2024,,,,-0.84293068624527,76.3,78.2
"UC Davis",83.158478842581,97.111876716444,0.14383105029252,0–2,0,2,37.6,64.1,13.2,28.2,20.1,20.1,13.8,31.5,72.1,32.8,57.8,28.3,52.9,4.8,13.1,54.1,54.5,49.6,29.1,73.6,,,,2024,,,,-0.21380639665274,56.3,84.8
LSU,120.73852856476,78.721395537567,0.99274434147421,5–3,5,8,45.3,45.3,30.5,31.7,19.5,21.4,41.9,32.6,74.3,42.6,45.8,37.6,29.4,10.4,9.8,49.6,51.7,19.9,28.7,74,,,,2024,,,,3.1604053582708,70.1,74.1
Baylor,107.05664721616,76.574844683397,0.97923553434803,4–6,4,10,47,49.9,22.3,28.8,23.1,24.8,27.8,30,75,47.6,54.4,30.6,26.7,7.1,9.4,55.7,53.1,37.8,31.3,73.9,,,,2024,,,,1.5870380522416,70.8,65.1
"Oral Roberts",100.924,98.697,0.5638007774702,0–3,0,3,37.6,59.6,29.1,26.1,22.1,19.4,27.6,44.8,86,35.8,60.7,29.2,37.9,3,14.5,53.4,66.9,22.5,28.2,83.2,,,,2024,,,,-0.44186861336107,75.8,62.3
Ohio,73.091695602413,85.159841710151,0.14711939754514,0–1,0,1,36.1,54.8,11.1,34.9,33.3,24.3,13.2,34.2,78.2,27.3,52.9,33.3,37.9,2.9,9.1,50,72.4,38.9,46,76.2,,,,2024,,,,-0.10021415509124,100,72.7
Winthrop,78.148154504965,95.45083971955,0.091118288711198,0–1,0,1,47.8,50,26.7,35.4,39.6,17,25,42.5,70.7,39.3,57.9,41.2,25.9,5.3,25,61.1,31,37.8,41.5,71,,,,2024,,,,-0.32598857856334,58.3,60.9
"Georgia Tech",104.25523656763,93.526198515982,0.77711037423212,0–7,0,7,43.8,54.6,22.7,17.8,19.5,16.2,23.5,32.1,68.5,43.6,54.2,29.5,36.8,4.2,10.2,53.4,62.1,33.6,32,68.9,,,,2024,,,,-1.5484238016268,64.9,72.5
"Kent St.",128.646,101.35783333333,0.93944195983457,0–1,0,1,55,60.8,31.7,31.1,35.3,16.4,43.2,57.6,79.2,44.4,63.2,42.4,35.3,7,18.5,50,40.5,55,23,72.8,,,,2024,,,,-0.07684200384098,68.4,82.6
"High Point",77.93369099414,106.58801180414,0.026576393088879,0–2,0,2,33.6,66.7,24.5,37.4,25.9,18.9,20.3,49.1,71.5,37.3,64,14.8,48.6,0,16.9,34.3,47.9,24.5,30.1,72.3,,,,2024,,,,-0.25532205552016,74.1,67.4
"Weber St.",78.769269661031,98.289756472075,0.072691352058332,0–2,0,2,36.9,62.5,5.1,12.9,20.5,19.1,17.3,32.8,68.2,35.1,67.2,26.8,38.3,1.6,15.6,50,78.8,34.7,48.4,69.3,,,,2024,,,,-0.30964668638944,33.3,81.3
Maine,105.67066666667,79.612833333333,0.96289699295505,0–1,0,1,43.6,48.3,23.6,25.9,17,15.5,22.9,25,64.7,56.3,48.7,17.4,31.6,2.6,12.5,45.5,84,41.8,32.8,64.8,,,,2024,,,,-0.29172653908675,84.6,73.3
Radford,69.921824399337,100.09740596964,0.015893742454405,0–2,0,2,30.6,58.8,28.7,29.2,34,20.8,32.9,47.1,72.1,25.3,63.2,32,35.2,6.6,26.5,44.8,64.2,23.1,41.5,69.9,,,,2024,,,,-0.48639701108193,67.7,76.3
SMU,109.10758333333,97.174666666667,0.79116796937843,0–2,0,2,47.7,52.6,30.6,23.7,20,17.2,17.1,37.5,72.5,42.7,57.5,41.4,29.2,5.7,9.8,48.9,75,26.1,35.6,69.9,,,,2024,,,,-0.59479544318241,70.6,84.4
Richmond,102.3755,92.905055555556,0.75330132641402,0–3,0,3,47.4,53.4,17.9,24.1,23.8,19.5,21.4,43,70.1,47.9,52.7,31.2,36.7,10.7,13.5,51.4,56,44.5,31.4,71.1,,,,2024,,,,-0.8042976607462,71,63
Providence,88.641741167435,85.427482334869,0.60461994692239,0–7,0,7,39.5,51.1,35.4,22.8,31,17.3,33.5,28.6,70,38.8,56.8,27.4,28.7,7.8,11,55.9,68.2,32.3,41.3,68.6,,,,2024,,,,-1.2126949698708,62.5,71
Louisville,113.3602060709,83.602400026401,0.97073692816484,4–6,4,10,46.1,52.4,33.3,37.7,22.1,25.3,31.3,33.1,71.2,46.4,53.8,30.3,32.7,4.7,12,45.7,54.3,24.4,30.3,70.5,,,,2024,,,,1.857231459004,69.6,71.7
Davidson,124.28958333333,89.830416666667,0.97665934953265,1–1,1,2,49.1,46.1,32.7,37.9,19.5,22.5,35.3,42.9,66.7,40.3,46.7,41.3,29.2,9.8,14.9,52.2,42,40.7,20.7,67.6,,,,2024,,,,0.48395841133344,75.7,65.9
"North Florida",97.952254298395,93.234424701666,0.63822678135569,0–2,0,2,49.5,58,17.2,18.4,32,17.5,23.3,34.4,68.7,48.1,60.9,34,34.2,2.3,26.9,46.3,74.2,47.5,30.4,69.6,,,,2024,,,,-0.31083253051109,58.8,73.9
