TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
Indiana,103.85029331087,76.612470920173,0.97063624853846,4–8,4,12,43.9,47.5,26.7,26,16.8,22.3,25.5,32.8,72.5,44.2,48.1,28.5,30.5,7.5,7.8,48.5,54.2,24.3,25.4,69.8,,,,2022,,,,1.6607790153474,73.5,73.3
"Central Michigan",78.44263727601,85.488734944911,0.27107103370119,0–1,0,1,34.7,44.6,8.5,24.6,27.7,16,26.8,36.6,68.6,44.4,46,13,26.7,4,8.3,52.6,33.3,39,23.1,69.4,,,,2022,,,,-0.27995123848885,80,68.8
Brown,74.94685731422,92.000661273879,0.086456513719428,0–2,0,2,36.7,52.2,19.1,20,35.8,17.2,10.9,37.8,72.7,42.9,50,16.1,39.4,6.9,4.8,50,59.4,33,24.4,74.7,,,,2022,,,,-0.5401798544071,66.7,70.4
Columbia,91.545831746032,95.752636507937,0.37362962237205,0–3,0,3,42.4,47.5,25,28.2,29.8,13.6,27.5,28.8,66,42.4,42.9,28.3,40.9,4.5,8.1,38.6,42.7,34.9,24.9,67.8,,,,2022,,,,-0.80062175148597,57.9,78
Furman,79.475854481489,92.398209177831,0.15026490247028,0–2,0,2,29.1,47.3,17.3,23.1,28.2,16,28.9,39.8,65.6,23.9,45.3,25.6,34.1,3.5,25.4,59.3,70.4,35.5,33.8,67.5,,,,2022,,,,-0.51341735649239,68.4,60
Tulane,108.91152552553,89.669674174174,0.90340440258835,0–3,0,3,38.2,49.4,22.5,22.3,24.1,22.6,42.3,39.4,66.5,33.3,50,30.3,31.7,5.1,13.5,53.3,65.9,40.6,22.9,69.1,,,,2022,,,,-0.65140246710201,69,52.5
BYU,116.59176020408,78.645747789116,0.98931146958614,3–1,3,4,49.6,42.6,21.8,27.5,18.2,20.5,34.1,38.7,63.3,54.2,38.8,27.2,32.9,11.6,7.2,65.7,59.5,34.6,35.8,66.4,,,,2022,,,,2.0518958203072,72.5,71.4
Xavier,82.670867528225,93.502669356392,0.19530338055474,0–4,0,4,33.1,61.2,25,26.9,25,20.4,24.7,35.4,70.8,33.7,60.3,20.5,41.5,5.1,14.1,46.5,74.6,19.3,43.8,71.6,,,,2022,,,,-0.60720302780629,75.4,69.2
Charlotte,77.842666666667,94.920666666667,0.092705000304782,0–2,0,2,33.8,50.8,22.5,32,23.5,18.5,19.2,47,70.3,31.6,53.2,25.7,29.4,8.5,6.6,54.5,40,31.5,26.6,69.3,,,,2022,,,,-0.33326981149983,68,82.9
"Wake Forest",95.694629778683,89.774104478788,0.6757820402633,0–6,0,6,40.7,51.8,29.1,28.5,25.2,19.5,32.3,32.5,69.3,36.9,50.6,32.7,36.3,2.5,9.9,42.1,58.3,31.5,31.9,69.9,,,,2022,,,,-1.0956084454211,65.7,76.2
Villanova,102.68008606061,86.612789393939,0.87620391619902,1–4,1,5,47,53.9,15.3,23.5,25.7,21.8,24.8,36.2,66.2,41.2,51.9,36.5,39.2,6.3,10.5,60,57.2,42.9,27.7,66.9,,,,2022,,,,0.1469331750958,65.9,76.1
"Utah St.",111.94873144379,114.63878268138,0.43215375113343,0–1,0,1,46.2,64.8,26.2,34.4,24.1,18.8,34.9,48.3,74.6,36.4,69.4,37.5,39.3,0,30.3,62.5,80.6,49.2,43.8,75.1,,,,2022,,,,-0.11442878887477,82.4,81.8
Marist,78.514857446238,95.352566733989,0.096705894969045,0–1,0,1,28.2,55.3,14.5,13.6,24.9,21.8,23.3,54.1,64.2,30.6,47.6,15.8,45.8,4.8,27.8,50,61.3,34.5,36.4,66.8,,,,2022,,,,-0.22691708172151,62.5,55.6
Denver,85.796732470448,105.84562709361,0.082035340217421,0–4,0,4,39.4,57,23.9,23.7,24.2,15.4,24.6,35.5,68.1,41.3,58.2,24,35.8,7.7,11.9,55.8,58.5,34.4,26.9,71,,,,2022,,,,-1.0618846128431,82.7,69.5
"Cal St. Northridge",83.746980133611,103.13021907663,0.083615132919051,0–2,0,2,39.2,54.2,17.5,30.5,32.3,21.3,23.9,54.3,68,36.1,55.2,32,34.3,1,8.3,55.9,69.2,25.8,26.7,70,,,,2022,,,,-0.30437080838882,58.8,70
Maryland,106.9075518981,82.073249363253,0.95435108402174,3–8,3,11,41.1,50.4,25.6,28.5,19.2,23.7,31.3,36.1,72.1,39.5,50.3,30.4,33.9,6.7,7.9,47.5,51.3,27.3,28.8,71.6,,,,2022,,,,1.2537465943134,76.9,70
"Boston College",101.97580727436,83.482308633602,0.90897305960287,1–7,1,8,43.5,48.5,25.5,29.7,26.9,20.6,31.9,35.4,72.3,42.3,51.1,30.8,27.9,7.3,9.3,52.2,55.9,30.5,28.1,72.6,,,,2022,,,,-0.26030692155612,66.4,79.7
Arizona,106.35311399385,72.312308745017,0.98829957049521,2–3,2,5,44.8,42,19.4,40,21.3,27.3,30.1,32.9,63.6,44.2,42.3,30.6,27.4,10.4,11.6,60.5,47.4,34,28.6,64.7,,,,2022,,,,1.1428242801787,78.6,79.4
"Penn St.",95.06514043835,92.72846272494,0.57106535745025,0–8,0,8,44.7,54.9,23.2,22.6,24.6,19.2,24.7,40.6,74.2,49.7,53.2,24.7,38.7,10.4,11.1,45,66.3,39.2,34.4,72.3,,,,2022,,,,-1.7889222054857,69.1,75.4
Hawaii,86.384666666667,87.859833333333,0.45147215816135,0–1,0,1,43,52.8,28,32.1,23,26,21.2,39.3,65.3,42.4,48.7,29.4,42.9,2.6,9.1,47.4,48,34,26.4,69.9,,,,2022,,,,-0.32900557617933,42.9,70.6
"San Diego",92.331240836941,86.319837373737,0.68443216160071,0–5,0,5,38.2,53.2,33.4,40.9,24.7,29,33,42.7,70.5,36.8,55.5,28,32.2,4.9,8.5,57.6,57.4,26.1,32.3,72.9,,,,2022,,,,-0.96906804527706,61.5,70
"UC Davis",109.11855555556,83.846555555556,0.95389513649795,2–1,2,3,46.8,43.4,27.1,25.1,22.4,14.9,25,40.5,62.6,47.7,43.5,30.4,28.8,6.1,8.1,41.9,48.6,44.5,28.4,64.4,,,,2022,,,,1.4853301644944,71.4,69.6
LSU,108.98526033592,75.801830620155,0.98486563662106,4–2,4,6,43.7,44.9,22.6,26.7,17.1,21.8,27.5,30.3,71,41.9,42,37.5,36,5.1,9.9,52.9,51.4,12.6,23.9,70.7,,,,2022,,,,2.7292237304052,61.6,63.5
"St. Francis NY",70.921294010445,93.7728055492,0.038716707683639,0–1,0,1,36,53.6,14,15.9,29.3,21.3,19.5,38.9,75.2,38.2,62.2,21.7,25,2.2,8.8,55.6,47.1,40.4,34.8,76.1,,,,2022,,,,-0.13415092627024,62.5,72.7
"Fresno St.",108.15014044487,93.542066582074,0.84140987558367,0–1,0,1,40.6,50,47.2,12.5,18.6,11.4,21.6,32.5,70,42.4,48,25,36.4,0,21.2,68.4,71.9,37.7,30.6,70.5,,,,2022,,,,-0.11442878887477,84,88.9
UMKC,103.05894166667,103.53005833333,0.48689037332194,0–4,0,4,41.4,57.5,29.7,28.9,20.9,14.1,29.5,29.2,65.7,40.3,57,28.9,39.2,3.8,7.9,61.3,56.3,37.4,31.9,68.9,,,,2022,,,,-1.0103440320941,77.3,68.7
Baylor,119.18289935146,78.63010978429,0.99169783943459,4–3,4,7,50.6,41.5,28,35.6,21,19.2,33.9,31.2,68.7,50.7,41.3,33.6,28.2,8.6,7,55.6,42.9,32.1,26.6,69.4,,,,2022,,,,2.8883859772159,77.8,80.3
"Oral Roberts",92.142976036833,98.482013693168,0.31753495119238,0–4,0,4,36.2,59.4,27.6,20.4,21.5,14.9,22.5,26.5,68.6,39.2,61.1,18.6,37.2,4.3,10.8,55.3,57.8,26.2,32.5,71.5,,,,2022,,,,-1.0618846128431,74.2,79.6
Ohio,114.01366666667,106.59633333333,0.6842982475538,0–1,0,1,41.7,66.9,27.3,32.4,24.7,15.6,34.8,40.6,76.8,35.4,69.6,38.9,40.9,4.3,20.8,25,75.6,27.3,32.4,74.6,,,,2022,,,,-0.14762277859839,77.8,63.6
Winthrop,72.110427583575,98.518598348462,0.026895384996715,0–1,0,1,39.6,55.8,17,15.6,37,14.5,26.5,43.9,75.6,35.3,51.9,31.6,43.5,3.7,5.9,61.1,65.8,35.8,29.9,74,,,,2022,,,,-0.21959140194357,55.6,50
"Georgia Tech",97.189068036768,71.423254146266,0.9718703823799,3–5,3,8,42.2,44.7,20.8,17.7,20.4,20.4,23.3,25.1,66.3,37.2,42.7,34.9,33.6,10.5,9.9,63.3,50.8,33.3,26.3,65.9,,,,2022,,,,1.6791377045232,63.2,56.1
Maine,87.300315949466,115.99510787924,0.036677305972328,0–2,0,2,43.3,61.3,15.5,31.3,27.5,8.9,11.1,38.6,67.3,54.5,60.2,19,44,4.9,12.7,52.6,49.3,43.3,19.5,67.2,,,,2022,,,,-0.40507358385644,60,82.5
Radford,78.428989009333,94.02772997907,0.11045956869291,0–1,0,1,30.4,58.8,23.5,20.6,31.8,8.7,24.3,33.3,69.2,19,70,55.6,28.6,5,9.5,46.2,47.2,17.6,41.2,71.4,,,,2022,,,,-0.15081835017771,75,64.3
Kansas,103.08762846686,82.435176978764,0.92897316444415,1–6,1,7,45.3,48.5,33.2,29.6,22.2,19.5,22.5,32.2,74.1,43.3,41.9,33.3,40.5,10.7,11.6,48.2,64,30.2,34.6,74.2,,,,2022,,,,-0.21263649933679,71.1,67.4
SMU,80.8224,95.144333333333,0.13283515780696,0–2,0,2,35.4,48.4,16,15.2,32.6,15.5,36.1,36.2,64.5,38.8,50,14.3,29.7,5.7,12.9,44.4,69.1,19.8,29.6,68,,,,2022,,,,-0.41883994415612,47.1,94.7
Providence,96.660031956278,98.019512671565,0.45993220909273,0–3,0,3,39.4,57.9,30.4,27.9,23.5,16.1,24.5,34,68.2,39.3,58.7,26.5,38,7.7,11.6,42.1,71.4,30.4,43.2,69.5,,,,2022,,,,-0.38782408822346,73.5,78.4
Louisville,119.03356137381,69.64265359796,0.99790127645266,6–2,6,8,48.7,42.1,19.8,33.2,20.7,24,35,27.5,68.2,45.9,44,37.9,25.4,10.2,6.8,47.4,52.4,25.3,32,68.5,,,,2022,,,,4.5463144525505,67,68.5
Davidson,88.696,89.790166666667,0.46480884333175,0–1,0,1,38.1,57.9,17.5,14.3,24.3,14.3,33.3,22.2,69.9,30,42.4,34.8,50,9.1,20,50,51.7,36.5,47.6,72.1,,,,2022,,,,-0.15081835017771,81.8,33.3
"North Florida",71.522062331238,92.219247745599,0.05103436343861,0–1,0,1,31.7,44,17.3,17.9,26.4,23.5,17.5,46.3,68.1,30,43.1,22.7,31.3,5.9,13.3,57.1,55.6,42.3,23.9,67,,,,2022,,,,-0.26125109569492,77.8,83.3
"Missouri St.",103.82511111111,75.425055555556,0.9752781655164,2–1,2,3,41.3,47.5,33.7,30.4,23.8,27.7,36.6,33.7,68.4,41.1,47.1,27.9,32.5,14,10.9,55.4,50,25,24.8,69,,,,2022,,,,1.272664496065,81,67.3
Vanderbilt,96.851121597738,90.39556920879,0.68853233475754,0–5,0,5,38.2,55.6,16.7,27.4,21.5,24.4,28.4,42.2,68.7,35.7,59,29.3,31.3,3.4,13.1,55.3,72.1,30.2,28.8,67.5,,,,2022,,,,-0.89725633510595,66.7,67.1
"Utah Tech",78.911747199788,95.222178465477,0.10334002610269,0–2,0,2,42.3,52.2,11.3,20.3,29.4,11.5,6.1,34.7,69.8,37.8,58.2,30,25,1,16.2,59.4,50.7,61.9,29,71.8,,,,2022,,,,-0.35343236246651,54.5,64.3
Akron,88.363166666667,110.81116666667,0.068927504122867,0–1,0,1,44.4,70.6,16.7,51,29.3,23.7,18.8,45,71.7,44.1,65.9,30,60,4.9,8.8,66.7,66.7,37,19.6,72.6,,,,2022,,,,-0.13415092627024,66.7,80.8
"Bowling Green",90.938333333333,99.433,0.26367041325875,0–1,0,1,50,63.3,37,43.3,31.6,24,22.2,40,79.1,41.7,56.5,44.4,57.1,4.3,19.4,60.9,50,33.3,23.3,74.6,,,,2022,,,,-0.21087731765591,45,69.2
Memphis,119.60595238095,102.50107142857,0.85505204796991,0–1,0,1,39.1,40,40,38.5,22.1,7.9,40,39.5,63.3,30.6,42.6,36.8,18.2,7.4,11.1,61.1,44,34.5,16.9,68.3,,,,2022,,,,-0.14663540362435,63.6,76
"Notre Dame",105.22316717322,79.427842429177,0.96210108670587,4–3,4,7,42.1,49,27.2,18.7,18.7,21.5,26.8,29,70.6,41.8,46.4,28.5,36.2,13,9.1,58.9,53.5,31.6,32.5,71.8,,,,2022,,,,2.9942173262724,66.9,72.8
Creighton,111.28671604938,86.31224845679,0.94895197761868,0–4,0,4,46.3,50,21.9,28.3,22.7,18.9,29.9,29.1,67.3,45.4,47.4,31.6,36.8,5.2,13.1,62.2,66.3,43,33,68.1,,,,2022,,,,-0.70729650482191,66,75.4
Duke,101.664396108,83.884108187983,0.90121260538371,2–8,2,10,44,49.2,21.1,20.8,23,16.7,27.4,32.7,69.5,42.2,48.5,31.6,33.9,6.9,9.3,49.1,48.9,35.3,30,69.1,,,,2022,,,,0.50420547201471,71.5,69.2
