0_ProbWin,0_TeamName,0_ADJOE,0_ADJDE,0_BARTHAG,0_EFG%,0_EFGD%,0_FTR,0_FTRD,0_TOR,0_TORD,0_ORB,0_DRB,0_2P%,0_2P%D,0_3P%,0_3P%D,0_3P%ODDIFF,0_3PR,0_3PRD,0_ADJ T.,0_Top30Wins,0_PomOrdinalRank,1_TeamName,1_ADJOE,1_ADJDE,1_BARTHAG,1_EFG%,1_EFGD%,1_FTR,1_FTRD,1_TOR,1_TORD,1_ORB,1_DRB,1_2P%,1_2P%D,1_3P%,1_3P%D,1_3P%ODDIFF,1_3PR,1_3PRD,1_ADJ T.,1_Top30Wins,1_PomOrdinalRank
1.0,SUNY Albany,102.24346968222,104.10184048202,0.44839779239767,48.7,48.2,42.5,29.2,19.8,18.7,32.4,29.2,46.6,45.6,36.4,35.2,-309.76000000000033,26.4,36.1,63.2,0.0,45,Mt St Mary's,107.45632537319,111.69615598398,0.39054433093969,51.7,53.4,37.3,34.4,17.0,18.8,28.3,33.1,50.4,54.3,35.6,33.6,717.28,42.8,24.0,70.0,0.0,47
0.0,Mt St Mary's,107.45632537319,111.69615598398,0.39054433093969,51.7,53.4,37.3,34.4,17.0,18.8,28.3,33.1,50.4,54.3,35.6,33.6,717.28,42.8,24.0,70.0,0.0,47,SUNY Albany,102.24346968222,104.10184048202,0.44839779239767,48.7,48.2,42.5,29.2,19.8,18.7,32.4,29.2,46.6,45.6,36.4,35.2,-309.76000000000033,26.4,36.1,63.2,0.0,45
1.0,NC State,113.23379528892,101.59507839291,0.77682954380666,49.8,47.4,36.4,43.1,15.9,17.5,34.7,36.2,51.3,47.1,30.3,32.0,-203.86,25.8,30.8,66.5,3.0,14,Xavier,112.63579699062,99.089541510555,0.81359792884949,51.9,49.1,42.0,39.8,18.7,17.0,34.1,28.8,51.5,46.8,35.4,35.4,-315.05999999999983,27.1,36.0,66.0,3.0,14
0.0,Xavier,112.63579699062,99.089541510555,0.81359792884949,51.9,49.1,42.0,39.8,18.7,17.0,34.1,28.8,51.5,46.8,35.4,35.4,-315.05999999999983,27.1,36.0,66.0,3.0,14,NC State,113.23379528892,101.59507839291,0.77682954380666,49.8,47.4,36.4,43.1,15.9,17.5,34.7,36.2,51.3,47.1,30.3,32.0,-203.86,25.8,30.8,66.5,3.0,14
1.0,Cal Poly,102.97738817036,104.11324232192,0.46850374673115,46.3,49.1,33.0,42.9,14.8,17.9,30.8,33.0,44.1,48.3,33.5,34.0,121.85000000000014,35.1,31.0,60.3,0.0,42,TX Southern,106.55694848261,112.77991307795,0.34237577380433,51.6,49.9,49.5,29.4,19.2,15.8,33.5,31.1,50.6,48.5,35.9,35.5,112.3599999999999,32.4,29.6,67.6,0.0,63
0.0,TX Southern,106.55694848261,112.77991307795,0.34237577380433,51.6,49.9,49.5,29.4,19.2,15.8,33.5,31.1,50.6,48.5,35.9,35.5,112.3599999999999,32.4,29.6,67.6,0.0,63,Cal Poly,102.97738817036,104.11324232192,0.46850374673115,46.3,49.1,33.0,42.9,14.8,17.9,30.8,33.0,44.1,48.3,33.5,34.0,121.85000000000014,35.1,31.0,60.3,0.0,42
1.0,Tennessee,116.15219153695,93.576016878014,0.92311640903479,49.3,45.9,41.3,33.1,17.2,17.2,39.7,27.6,49.2,43.9,33.0,34.0,81.60000000000002,30.6,27.3,63.4,1.0,3,Iowa,120.8112839711,97.911535131878,0.91810705961086,51.3,47.3,45.8,34.8,16.1,19.0,38.1,28.9,50.7,47.0,35.3,32.0,-219.6500000000002,27.5,37.2,71.2,2.0,7
0.0,Iowa,120.8112839711,97.911535131878,0.91810705961086,51.3,47.3,45.8,34.8,16.1,19.0,38.1,28.9,50.7,47.0,35.3,32.0,-219.6500000000002,27.5,37.2,71.2,2.0,7,Tennessee,116.15219153695,93.576016878014,0.92311640903479,49.3,45.9,41.3,33.1,17.2,17.2,39.7,27.6,49.2,43.9,33.0,34.0,81.60000000000002,30.6,27.3,63.4,1.0,3
1.0,Connecticut,111.64675428531,92.752233395806,0.89399306056662,51.4,43.9,38.6,35.5,17.6,19.5,31.2,33.4,48.0,41.4,38.7,32.9,268.41999999999985,33.8,31.6,65.1,3.0,7,St Joseph's PA,112.9113961498,97.788317718372,0.83938783354091,53.9,47.6,43.4,30.6,18.7,15.4,29.5,27.6,52.0,46.1,38.0,33.7,242.48999999999978,36.8,34.3,65.9,1.0,13
0.0,St Joseph's PA,112.9113961498,97.788317718372,0.83938783354091,53.9,47.6,43.4,30.6,18.7,15.4,29.5,27.6,52.0,46.1,38.0,33.7,242.48999999999978,36.8,34.3,65.9,1.0,13,Connecticut,111.64675428531,92.752233395806,0.89399306056662,51.4,43.9,38.6,35.5,17.6,19.5,31.2,33.4,48.0,41.4,38.7,32.9,268.41999999999985,33.8,31.6,65.1,3.0,7
