0_ProbWin,0_TeamName,0_ADJOE,0_ADJDE,0_BARTHAG,0_EFG%,0_EFGD%,0_FTR,0_FTRD,0_TOR,0_TORD,0_ORB,0_DRB,0_2P%,0_2P%D,0_3P%,0_3P%D,0_3P%ODDIFF,0_3PR,0_3PRD,0_ADJ T.,0_Top30Wins,0_PomOrdinalRank,1_TeamName,1_ADJOE,1_ADJDE,1_BARTHAG,1_EFG%,1_EFGD%,1_FTR,1_FTRD,1_TOR,1_TORD,1_ORB,1_DRB,1_2P%,1_2P%D,1_3P%,1_3P%D,1_3P%ODDIFF,1_3PR,1_3PRD,1_ADJ T.,1_Top30Wins,1_PomOrdinalRank
1.0,Kansas St,111.51599299416,93.277350945804,0.88633031567712,52.4,48.9,40.6,32.2,19.2,22.4,29.5,32.5,51.5,44.6,36.1,38.3,19.500000000000227,36.4,33.8,67.3,5.0,8,Wake Forest,121.37846458448,101.75861638094,0.8836609455817,54.0,52.2,40.2,37.0,16.5,16.1,30.9,27.6,51.9,51.3,38.7,35.7,-26.48999999999978,35.2,38.9,72.0,1.0,8
0.0,Wake Forest,121.37846458448,101.75861638094,0.8836609455817,54.0,52.2,40.2,37.0,16.5,16.1,30.9,27.6,51.9,51.3,38.7,35.7,-26.48999999999978,35.2,38.9,72.0,1.0,8,Kansas St,111.51599299416,93.277350945804,0.88633031567712,52.4,48.9,40.6,32.2,19.2,22.4,29.5,32.5,51.5,44.6,36.1,38.3,19.500000000000227,36.4,33.8,67.3,5.0,8
0.51,Mt St Mary's,98.259161387326,101.54881692111,0.40643850723477,50.9,49.6,32.8,33.3,19.2,21.7,23.0,34.5,49.5,48.8,35.7,34.4,364.31999999999994,36.8,27.6,68.4,0.0,54,New Orleans,99.113461246541,101.02728302667,0.44523523023757,50.1,49.9,43.5,34.9,23.8,22.3,36.2,32.7,51.2,51.7,31.1,31.2,-361.30999999999995,25.1,36.6,67.8,0.0,45
0.49,New Orleans,99.113461246541,101.02728302667,0.44523523023757,50.1,49.9,43.5,34.9,23.8,22.3,36.2,32.7,51.2,51.7,31.1,31.2,-361.30999999999995,25.1,36.6,67.8,0.0,45,Mt St Mary's,98.259161387326,101.54881692111,0.40643850723477,50.9,49.6,32.8,33.3,19.2,21.7,23.0,34.5,49.5,48.8,35.7,34.4,364.31999999999994,36.8,27.6,68.4,0.0,54
1.0,UC Davis,97.914969915575,101.00422992754,0.41163174582344,48.7,48.4,41.1,33.6,20.2,20.0,29.6,28.3,46.9,48.1,35.1,32.7,-84.86999999999989,31.4,36.3,70.2,0.0,55,NC Central,101.73302130224,100.79348982384,0.52664947528744,51.8,45.1,34.8,27.6,17.9,19.6,32.0,31.4,53.0,45.9,33.3,29.1,233.18999999999983,38.2,35.7,67.9,0.0,38
0.0,NC Central,101.73302130224,100.79348982384,0.52664947528744,51.8,45.1,34.8,27.6,17.9,19.6,32.0,31.4,53.0,45.9,33.3,29.1,233.18999999999983,38.2,35.7,67.9,0.0,38,UC Davis,97.914969915575,101.00422992754,0.41163174582344,48.7,48.4,41.1,33.6,20.2,20.0,29.6,28.3,46.9,48.1,35.1,32.7,-84.86999999999989,31.4,36.3,70.2,0.0,55
1.0,USC,111.20248757513,99.608172135294,0.7800998290179,51.9,49.7,37.2,23.9,15.7,18.0,30.8,31.2,50.5,46.8,36.3,36.5,-21.820000000000164,36.1,36.5,70.5,2.0,16,Providence,107.36240687234,94.509023511438,0.8125126201209,51.3,49.7,38.2,30.0,18.5,20.5,26.4,28.1,49.1,50.0,36.8,32.7,195.82999999999993,35.8,34.3,67.9,2.0,14
0.0,Providence,107.36240687234,94.509023511438,0.8125126201209,51.3,49.7,38.2,30.0,18.5,20.5,26.4,28.1,49.1,50.0,36.8,32.7,195.82999999999993,35.8,34.3,67.9,2.0,14,USC,111.20248757513,99.608172135294,0.7800998290179,51.9,49.7,37.2,23.9,15.7,18.0,30.8,31.2,50.5,46.8,36.3,36.5,-21.820000000000164,36.1,36.5,70.5,2.0,16
1.0,Arizona,116.25542628249,94.309938008192,0.91727126341821,53.7,47.1,41.0,29.2,17.0,17.7,33.3,26.2,51.0,47.9,39.8,30.6,105.87999999999988,30.8,36.6,67.0,3.0,5,North Dakota,102.05914446222,102.55332950639,0.48611600269388,53.4,50.3,36.6,39.4,18.7,20.0,26.2,27.9,51.6,49.4,38.4,34.8,21.3599999999999,30.1,32.6,72.4,0.0,44
0.0,North Dakota,102.05914446222,102.55332950639,0.48611600269388,53.4,50.3,36.6,39.4,18.7,20.0,26.2,27.9,51.6,49.4,38.4,34.8,21.3599999999999,30.1,32.6,72.4,0.0,44,Arizona,116.25542628249,94.309938008192,0.91727126341821,53.7,47.1,41.0,29.2,17.0,17.7,33.3,26.2,51.0,47.9,39.8,30.6,105.87999999999988,30.8,36.6,67.0,3.0,5
