TeamName,Tournament Wins,WinPercentage,PointDIFF,WAB,Top30Wins,ADJOE,ADJDE
Villanova,1,91.17647058823529,506,11.038789631854,6.0,122.18640902068,92.203118479291
Duke,1,77.14285714285714,379,8.5256407535214,8.0,121.0967450871,94.922068764492
Baylor,2,77.41935483870968,266,7.8276043088165,8.0,116.02152921734,92.52561371683
Florida,3,75.0,375,6.3217879815531,1.0,115.6699325979,89.268210943098
Virginia,1,68.75,351,4.9617696790615,5.0,114.11439512973,86.735215867108
SMU,0,88.23529411764706,500,6.49306877218,2.0,118.80156425109,93.676852841885
South Carolina,4,67.74193548387096,215,1.6628886415242,2.0,105.20072943861,88.304293581505
Wisconsin,2,73.52941176470588,358,5.1198703261494,3.0,113.47709700241,91.493803590613
Virginia Tech,0,68.75,155,3.303793748785,4.0,116.45323601434,101.38590905882
Marquette,0,61.29032258064516,233,0.57521552917939,4.0,121.37396032127,101.61475823623
USC,1,72.72727272727273,182,1.3562525387818,2.0,111.20248757513,99.608172135294
UNC Wilmington,0,84.375,289,1.6910438154802,0.0,117.06251358109,104.57486023494
ETSU,0,78.125,326,-0.60259139258222,0.0,106.94057354101,96.779546202334
New Mexico St,0,83.33333333333333,281,-0.12585625042912,0.0,109.01280703751,101.77128333437
Troy,0,58.8235294117647,123,-7.8989451633832,0.0,108.78791294224,107.02199447029
Mt St Mary's,0,55.88235294117647,-9,-7.7565381883437,0.0,98.259161387326,101.54881692111
Gonzaga,5,96.96969696969697,773,7.7946023511273,6.0,119.77503374295,87.979707843381
Arizona,2,88.23529411764706,368,7.9044733834468,3.0,116.25542628249,94.309938008192
Florida St,1,75.75757575757575,369,5.8865824851979,7.0,116.01403702303,94.317511417548
West Virginia,2,76.47058823529412,532,6.3472842293739,7.0,116.07988974666,89.767032955822
Notre Dame,1,73.52941176470588,299,5.9240181884588,4.0,119.51281451283,96.395867926729
Maryland,0,74.19354838709677,155,3.6762328099285,4.0,113.00995686128,97.333248623702
St Mary's CA,1,87.5,496,3.9679368563103,0.0,118.25938836705,94.227577193574
Northwestern,1,67.6470588235294,205,1.9533656972394,2.0,111.10289491515,94.699692191783
Vanderbilt,0,55.88235294117647,106,0.078131401612317,4.0,112.77237884168,95.20870116738
VCU,0,76.47058823529412,281,1.40897252659,0.0,107.92555817895,95.82343978964
Xavier,3,61.76470588235294,111,1.5502955646387,2.0,114.47383999221,97.344060847149
Princeton,0,78.57142857142857,246,-0.28516009990704,0.0,108.08898937965,96.585797529671
Bucknell,0,76.47058823529412,299,-1.9603310092721,1.0,107.5140482483,99.50540295681
FGCU,0,76.66666666666667,182,-1.6322832187124,0.0,108.49635109344,103.90766868475
North Dakota,0,67.85714285714286,123,-5.2384906678517,0.0,102.05914446222,102.55332950639
S Dakota St,0,50.0,-34,-9.6943320766072,0.0,108.62851008996,111.69316229055
Kansas,3,87.5,331,10.934500510065,10.0,120.37066978055,94.382394851902
Louisville,1,75.0,374,6.8494563595421,5.0,116.19278900009,89.689373534201
Oregon,4,84.84848484848484,439,5.9986425533028,2.0,115.96104501954,93.708751458536
Purdue,2,78.125,415,5.5758744514301,4.0,116.0700357579,92.262747377854
Iowa St,1,69.6969696969697,293,6.3954233881365,7.0,118.10307241885,95.649573590569
Creighton,0,72.72727272727273,295,4.2493249081121,3.0,115.64659600403,95.317157597601
Michigan,2,68.57142857142857,324,3.7617548589479,6.0,121.63850381788,97.940835663321
Miami FL,0,65.625,182,2.8765883588547,3.0,110.69632525921,92.261909206091
Michigan St,1,57.57575757575758,111,0.37941331091606,4.0,109.67777350136,94.572600997776
Oklahoma St,0,61.29032258064516,224,3.2698980004268,4.0,125.08173837719,101.44536921953
Rhode Island,1,72.72727272727273,280,0.48468233582114,1.0,110.17211045989,94.894828098215
Nevada,0,82.3529411764706,307,1.8321385932485,0.0,113.47067323044,101.09601911732
Vermont,0,84.84848484848484,348,0.85731784616288,0.0,109.54215772806,98.610039666075
Iona,0,64.70588235294117,140,-5.5668427330052,0.0,108.70122485172,105.32562925926
Jacksonville St,0,56.25,28,-7.8759603017921,0.0,103.98813581826,104.8496348991
UC Davis,0,62.5,16,-7.366287358192,0.0,97.914969915575,101.00422992754
North Carolina,6,78.78787878787878,443,8.3104168848826,8.0,120.97017937859,93.090440832064
Kentucky,3,85.29411764705883,488,8.9963520349408,3.0,119.24172830522,91.522042757008
UCLA,2,87.87878787878788,496,6.6835438656749,4.0,121.700387652,99.197557429142
Butler,2,74.19354838709677,245,5.5074611637326,7.0,117.52861961273,96.955254832327
Minnesota,0,72.72727272727273,204,3.692448913994,4.0,108.26855945862,91.827646200595
Cincinnati,1,85.29411764705883,464,5.6997998643097,2.0,113.55791871841,91.166046971479
Dayton,0,76.66666666666667,276,1.5536456046743,1.0,110.49481145519,96.543715123651
Arkansas,1,73.52941176470588,197,3.8872247495432,3.0,115.36017598483,101.14057488524
Seton Hall,0,65.625,100,2.609909717749,3.0,108.58889437869,95.820127667691
Wichita St,1,87.87878787878788,637,4.1840408919527,0.0,116.90466409535,92.847038754017
Kansas St,0,60.60606060606061,158,1.5848144399168,5.0,111.51599299416,93.277350945804
MTSU,1,87.87878787878788,360,2.1813822683302,0.0,110.41661500556,96.321049703871
Winthrop,0,80.0,243,-1.6699290154543,0.0,105.44791993789,101.75180230564
Kent,0,61.76470588235294,105,-7.0080384004723,0.0,103.84850232078,102.47314989847
N Kentucky,0,68.75,97,-4.7954081610017,0.0,105.64757782653,104.33012790428
TX Southern,0,67.6470588235294,88,-4.3132120939683,0.0,101.70074519273,106.65693089288
