"TeamName","Expected Tournament Wins"
"Stanford","4.51314606283525"
"Louisville","2.46413760365753"
"Georgia","1.59052682826404"
"Arkansas","1.5962393813437"
"Missouri St","1.01447628307878"
"Oregon","1.51700222949789"
"Northwestern","0.94133534091982"
"Oklahoma St","1.23042177966578"
"Wake Forest","0.371751101351585"
"UCF","0.487498808400087"
"South Dakota","0.439404444245333"
"UC Davis","0.181932844381011"
"Wright St","0.05658041881946"
"Drexel","0.0203100957462864"
"Marist","0.0930788357425016"
"Utah Valley","0.0238823804561984"
"South Carolina","3.29238835619936"
"Maryland","3.23351048732437"
"UCLA","1.90570015004244"
"West Virginia","1.77877445572093"
"Georgia Tech","0.88483039762525"
"Texas","1.10898903197514"
"Alabama","0.843254623994349"
"Oregon St","0.87741552180172"
"Florida St","0.416970688918883"
"North Carolina","0.542205793017044"
"Bradley","0.0383298667085089"
"SF Austin","0.876141242558451"
"Lehigh","0.0389649354903578"
"Wyoming","0.021626250150166"
"Mt St Mary's","0.0265054405293411"
"Mercer","0.0466279243148395"
"NC State","2.10719710759968"
"Texas A&M","2.41065497496765"
"Arizona","1.52187246624588"
"Indiana","1.71820389171516"
"Gonzaga","1.22792981019937"
"Rutgers","1.10959153083559"
"Iowa St","1.15153642872366"
"South Florida","0.807880807375205"
"Washington St","0.753256146015001"
"Michigan St","0.750967505428401"
"BYU","0.36884104306011"
"Belmont","0.169774039486286"
"VCU","0.0162985698482237"
"Stony Brook","0.0482540882951556"
"Troy","0.0735947448397103"
"NC A&T","0.110508743489556"
"Connecticut","3.17717991976514"
"Baylor","3.9112179855181"
"Tennessee","1.53085185728346"
"Kentucky","1.18230685723167"
"Iowa","1.4425172915262"
"Michigan","1.10654500836173"
"Virginia Tech","0.624652874512488"
"Syracuse","0.712293581809806"
"S Dakota St","0.54624268735977"
"Marquette","0.656887307380503"
"FGCU","0.817418623490507"
"C Michigan","0.0558575263558883"
"Idaho St","0.247624499785474"
"MTSU","0.0434288207330374"
"Jackson St","0.0956954730623015"
"High Point","0.0289581829228696"
