0_ProbWin,0_TeamName,0_ADJOE,0_ADJDE,0_BARTHAG,0_EFG%,0_EFGD%,0_FTR,0_FTRD,0_TOR,0_TORD,0_ORB,0_DRB,0_2P%,0_2P%D,0_3P%,0_3P%D,0_3P%ODDIFF,0_3PR,0_3PRD,0_ADJ T.,0_Top30Wins,1_TeamName,1_ADJOE,1_ADJDE,1_BARTHAG,1_EFG%,1_EFGD%,1_FTR,1_FTRD,1_TOR,1_TORD,1_ORB,1_DRB,1_2P%,1_2P%D,1_3P%,1_3P%D,1_3P%ODDIFF,1_3PR,1_3PRD,1_ADJ T.,1_Top30Wins
1.0,Alabama,115.42401532343,88.338288285324,0.95587270778798,52.7,41.5,36.7,32.8,19.0,15.9,33.8,27.5,54.6,41.2,33.8,28.1,755.7799999999997,47.8,30.6,73.5,6.0,TAM C. Christi,104.42174807627,106.15798448682,0.45273157375887,51.2,52.4,34.4,38.6,18.0,20.9,32.5,27.9,49.0,54.1,36.9,33.3,-80.81999999999994,34.9,41.1,69.9,0.0
0.0,TAM C. Christi,104.42174807627,106.15798448682,0.45273157375887,51.2,52.4,34.4,38.6,18.0,20.9,32.5,27.9,49.0,54.1,36.9,33.3,-80.81999999999994,34.9,41.1,69.9,0.0,Alabama,115.42401532343,88.338288285324,0.95587270778798,52.7,41.5,36.7,32.8,19.0,15.9,33.8,27.5,54.6,41.2,33.8,28.1,755.7799999999997,47.8,30.6,73.5,6.0
1.0,Arkansas,110.70857397638,91.986654146577,0.89382910070007,52.0,46.5,38.8,38.9,18.3,20.4,30.5,28.2,53.8,46.9,31.7,30.6,-27.12000000000012,28.2,30.1,70.4,3.0,Illinois,108.98806520828,94.417162940157,0.83894894500705,51.6,46.9,33.8,29.6,18.2,18.6,32.3,26.8,55.3,45.3,30.9,33.6,256.4699999999998,41.9,30.9,70.5,2.0
0.0,Illinois,108.98806520828,94.417162940157,0.83894894500705,51.6,46.9,33.8,29.6,18.2,18.6,32.3,26.8,55.3,45.3,30.9,33.6,256.4699999999998,41.9,30.9,70.5,2.0,Arkansas,110.70857397638,91.986654146577,0.89382910070007,52.0,46.5,38.8,38.9,18.3,20.4,30.5,28.2,53.8,46.9,31.7,30.6,-27.12000000000012,28.2,30.1,70.4,3.0
1.0,Auburn,110.94538847885,93.198105448692,0.88127637241506,49.6,45.6,35.5,39.1,18.1,19.3,33.3,32.0,51.0,46.9,31.4,28.8,126.5999999999998,35.4,34.2,68.4,1.0,Iowa,118.93954357607,102.73086619219,0.84353659553024,51.9,53.3,32.6,23.4,14.1,18.5,32.2,27.6,52.1,52.6,34.3,36.6,104.29999999999973,37.4,32.2,70.4,2.0
0.0,Iowa,118.93954357607,102.73086619219,0.84353659553024,51.9,53.3,32.6,23.4,14.1,18.5,32.2,27.6,52.1,52.6,34.3,36.6,104.29999999999973,37.4,32.2,70.4,2.0,Auburn,110.94538847885,93.198105448692,0.88127637241506,49.6,45.6,35.5,39.1,18.1,19.3,33.3,32.0,51.0,46.9,31.4,28.8,126.5999999999998,35.4,34.2,68.4,1.0
1.0,Duke,111.85038867773,93.136616727047,0.89144527555741,51.1,46.3,30.8,24.1,18.2,16.6,36.2,25.9,51.4,46.7,33.6,30.4,122.40000000000009,35.4,35.1,65.9,3.0,Oral Roberts,111.92147607282,101.18946796854,0.76119325497367,56.1,48.5,24.6,22.0,13.2,17.6,24.5,27.4,56.6,46.6,37.0,34.2,330.01999999999975,45.8,39.9,71.2,0.0
0.0,Oral Roberts,111.92147607282,101.18946796854,0.76119325497367,56.1,48.5,24.6,22.0,13.2,17.6,24.5,27.4,56.6,46.6,37.0,34.2,330.01999999999975,45.8,39.9,71.2,0.0,Duke,111.85038867773,93.136616727047,0.89144527555741,51.1,46.3,30.8,24.1,18.2,16.6,36.2,25.9,51.4,46.7,33.6,30.4,122.40000000000009,35.4,35.1,65.9,3.0
0.7,Furman,111.9162047509,104.05435016763,0.69796502636122,55.6,50.6,34.7,31.8,15.8,18.4,29.6,27.1,59.1,51.2,34.4,33.1,431.03999999999974,46.4,35.2,69.1,0.0,Virginia,110.395978146,93.450507956899,0.87173420578574,51.3,48.3,34.5,26.1,13.7,19.7,25.5,25.0,50.4,46.5,35.3,34.0,-75.47000000000025,36.1,39.7,62.1,3.0
0.30000000000000004,Virginia,110.395978146,93.450507956899,0.87173420578574,51.3,48.3,34.5,26.1,13.7,19.7,25.5,25.0,50.4,46.5,35.3,34.0,-75.47000000000025,36.1,39.7,62.1,3.0,Furman,111.9162047509,104.05435016763,0.69796502636122,55.6,50.6,34.7,31.8,15.8,18.4,29.6,27.1,59.1,51.2,34.4,33.1,431.03999999999974,46.4,35.2,69.1,0.0
