"TeamName","Expected Tournament Wins"
"Villanova","3.02751592909272"
"Duke","2.5764006942711"
"Baylor","2.23535848958445"
"Florida","1.67585950366692"
"Virginia","2.06400264210822"
"SMU","1.8445649761474"
"South Carolina","0.748480383408247"
"Wisconsin","1.3747851835032"
"Virginia Tech","0.960292331314351"
"Marquette","1.27592300646446"
"USC","0.556741879912111"
"UNC Wilmington","0.631323503256939"
"ETSU","0.349081601464426"
"New Mexico St","0.299276675565431"
"Troy","0.0995787512508296"
"Mt St Mary's","0.0406633003502127"
"Gonzaga","3.07014287231183"
"Arizona","1.66287410983627"
"Florida St","1.8118467441898"
"West Virginia","2.21601613446064"
"Notre Dame","1.73941511450578"
"Maryland","1.02744861880587"
"St Mary's CA","1.50474833141599"
"Northwestern","0.797307569735618"
"Vanderbilt","0.950444579693498"
"VCU","0.447278479812855"
"Xavier","0.871649917769816"
"Princeton","0.444426174499669"
"Bucknell","0.303462477380836"
"FGCU","0.202827598620604"
"North Dakota","0.0767324922744032"
"S Dakota St","0.0488717184443271"
"Kansas","3.04101212570443"
"Louisville","2.11731017075576"
"Oregon","1.48089853473972"
"Purdue","1.73659092860049"
"Iowa St","1.88741916841192"
"Creighton","1.285517470434"
"Michigan","1.93610663547416"
"Miami FL","1.00537413192606"
"Michigan St","0.748200650505425"
"Oklahoma St","1.738083097479"
"Rhode Island","0.663850142758099"
"Nevada","0.558394655920867"
"Vermont","0.448842529492964"
"Iona","0.138618401007912"
"Jacksonville St","0.0639267970357684"
"UC Davis","0.0469984965032427"
"North Carolina","2.76121611578468"
"Kentucky","2.21695463884841"
"UCLA","1.82853898924899"
"Butler","1.78448479971794"
"Minnesota","0.970147234763012"
"Cincinnati","1.43927996000966"
"Dayton","0.630314548794064"
"Arkansas","0.84757209989816"
"Seton Hall","0.619534960112246"
"Wichita St","1.39756898080415"
"Kansas St","1.1015732700765"
"MTSU","0.658052839775089"
"Winthrop","0.171316754490665"
"Kent","0.0907645795320485"
"N Kentucky","0.11177814415463"
"TX Southern","0.043022549843636"
