"TeamName","Expected Tournament Wins"
"Connecticut","3.78208475116331"
"Iowa St","2.34309962289302"
"Illinois","1.84280058920359"
"Auburn","1.95166741910094"
"San Diego St","0.922082982201007"
"BYU","1.38360300249846"
"Washington St","0.802486212972202"
"FL Atlantic","0.738522757180607"
"Northwestern","0.698185776166677"
"Drake","0.659263055998186"
"Duquesne","0.226283153926108"
"UAB","0.146495156155377"
"Yale","0.223447113346723"
"Morehead St","0.169237964857319"
"S Dakota St","0.0636864546880069"
"Stetson","0.0270964433655227"
"North Carolina","2.1619002792548"
"Arizona","2.17998100346626"
"Baylor","1.53665656005396"
"Alabama","1.35092318503828"
"St Mary's CA","1.17244274763256"
"Clemson","0.803675026101775"
"Dayton","0.808591138994678"
"Mississippi St","0.819510451491198"
"Michigan St","0.856286215467351"
"Nevada","0.877351699474969"
"New Mexico","1.03131723713105"
"Grand Canyon","0.644330365616757"
"Col Charleston","0.244030984790629"
"Colgate","0.119007387059065"
"Long Beach St","0.0369358836985177"
"Howard","0.00823182305972521"
"Wagner","0.00799904523105478"
"Purdue","3.20491750026328"
"Tennessee","2.00523913790764"
"Creighton","1.85576062650026"
"Kansas","1.25413424201715"
"Gonzaga","1.29735056684432"
"South Carolina","0.93695081752051"
"Texas","0.917535678300801"
"Utah St","0.742953206243364"
"TCU","0.883686841816629"
"Colorado St","0.660555426887978"
"Virginia","0.554549481400318"
"Oregon","0.623079395601808"
"McNeese St","0.585921168457536"
"Samford","0.413088259265677"
"Akron","0.134376160987087"
"St Peter's","0.0310874012207091"
"Grambling","0.0135918286897784"
"Montana St","0.0137044816325946"
"Houston","2.9546417454139"
"Marquette","1.97101704110302"
"Kentucky","1.40662446955878"
"Duke","1.57668937135954"
"Wisconsin","1.22623788212465"
"Texas Tech","1.01395069577442"
"Florida","1.11062683598626"
"Nebraska","0.919245095707835"
"Texas A&M","0.70058858621303"
"Boise St","0.777317825701493"
"Colorado","0.821480061345699"
"NC State","0.545424211563548"
"James Madison","0.737945327868151"
"Vermont","0.23106027353751"
"Oakland","0.107839189503255"
"WKU","0.0833367951297626"
"Longwood","0.0482788812720052"
