TeamName,Tournament Wins,WinPercentage,PointDIFF,WAB,Top30Wins,ADJOE,ADJDE,PomOrdinalRank
North Carolina,5,82.3529411764706,432,8.5326131944008,4.0,120.11911414591,94.275219785982,1
Xavier,1,84.375,330,7.728216760986,2.0,117.12166707045,94.52829257957,4
West Virginia,0,76.47058823529412,428,7.3157034391131,4.0,115.41930864439,90.212546172034,2
Kentucky,1,76.47058823529412,388,5.0224262793274,5.0,122.27809155708,95.803133074914,2
Indiana,2,78.125,428,3.3001918405189,2.0,120.08845370811,98.029397662308,4
Notre Dame,3,65.625,164,2.322036708923,5.0,118.4240295024,103.47929226497,10
Wisconsin,2,62.5,138,0.48728464234474,6.0,110.16060419518,95.612220292018,8
USC,0,63.63636363636363,201,0.22651775716699,1.0,113.77772958326,98.038328935035,13
Providence,1,69.6969696969697,140,3.3480570716501,5.0,108.94643583601,95.10583142994,12
Pittsburgh,0,64.51612903225806,219,1.7717994342256,2.0,115.29775997028,98.223934246713,12
Michigan,0,63.63636363636363,206,0.88074091598101,2.0,114.71509689063,99.735319521812,14
Tulsa,0,64.51612903225806,134,-1.0717201934554,2.0,109.1911993493,99.360486832371,15
Chattanooga,0,84.375,246,0.55223776804566,0.0,105.91691483998,100.23585634786,27
Stony Brook,0,80.0,308,-0.96047137516903,0.0,106.05102958918,98.705968321474,23
SF Austin,1,82.14285714285714,428,-1.0642981381888,0.0,108.46445447426,97.569609964024,9
Weber St,0,74.19354838709677,188,-3.5017752161562,0.0,102.88389268184,99.638430970422,33
F Dickinson,0,54.83870967741935,-52,-9.7346687795208,0.0,103.67541559983,114.63713505808,66
FGCU,0,55.172413793103445,79,-8.2683745225818,0.0,102.31941759246,103.04771250401,44
Virginia,3,78.78787878787878,353,8.6507560679704,8.0,119.48409262982,91.928038269118,1
Michigan St,0,85.29411764705883,557,7.3516220734272,5.0,121.41192125653,94.845905909935,1
Utah,1,75.75757575757575,247,5.6746580793187,2.0,115.24265504522,97.337937493139,8
Iowa St,2,65.625,220,3.5223229396333,3.0,120.38823796061,98.853068152706,5
Purdue,0,76.47058823529412,447,4.4502365092407,4.0,116.56256484159,92.761383246015,3
Seton Hall,0,75.75757575757575,233,5.2992863410856,5.0,111.148558127,92.505103559334,7
Dayton,0,78.125,236,2.5550715802518,2.0,106.80410745759,92.624431737162,14
Texas Tech,0,61.29032258064516,79,1.2529153553221,2.0,112.4471629765,98.543642165868,11
Butler,1,67.74193548387096,292,2.0752258373726,3.0,117.93802896149,99.361181488758,10
Syracuse,4,59.375,144,-0.29541327809298,2.0,110.81257017409,94.611209848269,11
Gonzaga,2,78.125,408,2.2008096066061,1.0,116.98221511288,96.344739042658,7
Ark Little Rock,1,87.09677419354838,308,2.2033937937039,0.0,106.9024048633,95.576798741596,12
Iona,0,68.75,190,-3.3484333535827,0.0,108.88312423422,102.75375238822,18
Fresno St,0,71.875,111,-0.7155428365347,0.0,105.54461824103,99.905913394032,27
MTSU,1,70.96774193548387,127,-2.9875677437423,0.0,102.22668044673,98.551710912787,31
Hampton,0,66.66666666666667,27,-6.1459934403046,0.0,98.043184479584,106.90217097502,56
Kansas,3,87.87878787878788,419,11.446203625761,8.0,120.53466709408,91.279877638407,1
Villanova,6,85.29411764705883,451,8.954203212965,5.0,118.91025992754,90.383734709827,2
Miami FL,2,78.125,282,6.8679846278357,4.0,118.79294452287,95.409677145084,4
California,0,69.6969696969697,267,2.2941109275583,1.0,112.51972700061,93.035553632167,6
Maryland,2,75.0,292,4.0160647903829,2.0,115.11498341632,96.431165152321,6
Arizona,0,75.75757575757575,403,3.4738220553401,1.0,116.39792459995,95.745292915224,4
Iowa,1,67.74193548387096,291,2.0132719323233,5.0,116.04569182884,94.78457881741,5
Colorado,0,65.625,152,0.72770463046711,1.0,107.80126724925,95.363637737358,14
Connecticut,1,70.58823529411765,351,1.232848278533,1.0,110.38199067807,93.33618347238,7
Temple,0,65.625,39,-0.043723777885755,2.0,106.31446322356,98.073075162853,22
Vanderbilt,0,59.375,301,-0.37663728334518,3.0,114.57788637885,92.792643660292,7
Wichita St,1,74.19354838709677,425,0.28252770612275,0.0,111.52300469357,90.325208476185,3
S Dakota St,0,77.41935483870968,218,-1.0224414675831,0.0,110.51111136107,100.66604116501,20
Hawaii,1,83.33333333333333,324,0.95286778098509,0.0,107.29581813732,95.869803449405,16
Buffalo,0,57.57575757575758,22,-5.6475048510856,0.0,104.28985154519,102.45775468214,33
UNC Asheville,0,64.51612903225806,169,-6.1446220234401,0.0,101.10487013704,99.442881617699,29
Austin Peay,0,48.484848484848484,-78,-11.1479004795,0.0,101.7567771435,108.36086149511,53
Oregon,3,81.81818181818181,302,6.7144645648614,3.0,117.73356953152,96.892787177987,3
Oklahoma,4,78.125,319,7.8750007258793,5.0,117.59579682194,92.797546285307,2
Texas A&M,2,76.47058823529412,353,5.1452022298122,3.0,113.67294899835,92.181460892172,5
Duke,2,69.6969696969697,310,4.211124952723,6.0,121.52077958461,98.46124675458,6
Baylor,0,65.625,214,3.4804462044771,3.0,117.79748479991,99.348575935166,6
Texas,0,62.5,105,3.0735434790567,6.0,111.53560160066,95.249041773419,8
Oregon St,0,60.0,43,0.3237486148483,1.0,109.83119780029,98.13896101349,15
St Joseph's PA,1,79.41176470588235,261,3.5638255621935,2.0,113.00027914557,96.872018058899,10
Cincinnati,0,68.75,330,0.36093859612939,2.0,109.47846214986,92.738874769934,8
VCU,1,70.58823529411765,337,0.028945409396502,2.0,111.37171116527,93.848813838845,9
Northern Iowa,1,63.63636363636363,153,-1.9799652236583,4.0,108.79224073481,97.637130735219,20
Yale,1,77.77777777777777,296,0.096848749800174,0.0,108.19604729964,95.275998964092,10
UNC Wilmington,0,76.66666666666667,191,-0.60132056616224,0.0,108.5858883329,100.62855308736,19
WI Green Bay,0,63.63636363636363,89,-4.3665189314776,0.0,106.94617955221,104.43287068582,30
CS Bakersfield,0,72.41379310344827,246,-3.3867779247613,0.0,103.17439743996,95.51979904955,24
Holy Cross,0,42.42424242424242,-143,-14.253232535223,0.0,97.271734283382,107.61686575606,67
Southern Univ,0,61.29032258064516,58,-7.9574725402165,0.0,99.982780355622,106.00691129382,57
