TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,PomOrdinalRank,3P%ODDIFF
Michigan,117.66756726568,90.811137365481,0.95163647004007,20–4,20,24,54.9,44.9,28.9,24.5,16.3,15.1,29.4,24.8,67.5,53.3,42.3,38.7,33.5,10.6,7.0,55.5,42.5,33.9,32.7,67.8,2021,7.0648254920579,77.8,74.9,83.33333333333333,6.0,1276,3,261,1,216.48000000000002
Alabama,110.70220281844,88.631250362057,0.92805113312936,24–6,24,30,51.3,45.3,28.6,31.9,18.6,21.1,31.5,29.8,75.1,50.1,46.4,35.1,28.8,10.5,14.1,50.8,43.8,47.1,33.6,74.8,2021,6.8676933425676,72.0,68.6,80.0,4.0,1104,2,294,2,685.53
Texas,113.54824500302,92.773778013186,0.91082365077413,19–7,19,26,52.9,46.7,34.0,36.7,20.2,17.8,31.3,26.9,69.6,52.4,45.8,35.7,32.3,10.1,9.6,49.7,41.3,41.9,33.4,70.0,2021,4.1391750873041,70.8,68.1,73.07692307692308,3.0,1400,0,167,7,417.0100000000002
Florida St,117.23102490247,93.66940978363,0.92958364727277,16–6,16,22,54.4,46.5,32.7,36.3,20.2,19.6,35.7,31.4,70.4,52.1,44.2,39.0,33.3,14.6,7.5,51.9,49.4,35.5,40.0,71.2,2021,2.3892747929294,73.8,74.1,72.72727272727273,0.0,1199,2,189,4,52.5
Colorado,115.39226586393,91.74844074975,0.93319265579407,22–8,22,30,52.0,47.7,29.9,28.0,16.8,19.8,30.9,25.6,66.2,50.3,46.5,36.7,33.3,7.8,7.9,51.3,47.6,35.8,34.8,67.2,2021,4.8617582119052,82.2,72.6,73.33333333333333,4.0,1160,1,293,5,155.01999999999998
BYU,111.51860411298,92.648107978008,0.89396556291252,19–6,19,25,55.0,46.6,27.8,29.4,19.0,16.0,28.6,23.3,70.4,54.5,45.5,37.3,32.4,7.2,5.5,56.9,46.7,38.8,34.8,69.1,2021,3.5480456198921,73.6,69.1,76.0,1.0,1140,0,218,6,319.72
Connecticut,113.93998505566,92.285772470251,0.91863858213243,15–7,15,22,49.5,46.2,29.6,36.9,17.5,19.6,36.8,29.8,66.5,49.0,45.6,33.6,31.6,14.4,6.7,49.4,46.5,33.3,33.0,66.6,2021,2.0310038849877,73.1,70.7,68.18181818181819,1.0,1163,0,174,4,76.07999999999993
LSU,118.92641190864,99.82099516675,0.8822543268157,18–9,18,27,52.8,48.5,33.9,29.1,16.1,18.4,31.5,32.8,72.8,53.0,51.3,35.0,30.0,7.8,9.1,42.3,50.7,37.1,44.3,71.4,2021,2.2446527544047,74.7,70.6,66.66666666666667,1.0,1261,1,183,8,-30.5
St Bonaventure,110.11630086887,91.854742115115,0.88946416568316,16–4,16,20,50.5,45.5,27.8,28.3,16.9,19.5,33.6,28.4,65.3,49.3,45.1,35.4,30.6,12.4,7.8,56.8,57.6,31.9,43.2,65.5,2021,1.8712142374979,73.4,65.1,80.0,0.0,1382,0,203,7,-192.66000000000008
Maryland,110.06311612092,94.177109117371,0.85724374187283,15–13,15,28,52.6,48.5,32.6,25.6,16.8,16.9,20.9,24.8,65.6,52.8,46.4,34.9,34.3,10.3,8.8,53.7,52.3,43.0,41.8,66.3,2021,0.061590016052011,70.3,71.7,53.57142857142857,2.0,1268,1,69,8,66.96000000000026
Michigan St,105.42548948616,94.105970388002,0.78687724333636,15–12,15,27,47.9,47.8,31.4,37.1,18.9,15.4,30.4,26.1,69.1,47.8,48.1,32.0,31.5,12.2,8.0,64.1,54.1,34.1,34.0,69.6,2021,1.1695047250828,72.1,71.5,55.55555555555556,4.0,1277,0,-41,14,20.200000000000045
UCLA,114.24304449545,96.169271088545,0.8787355277956,17–9,17,26,52.0,50.7,32.6,28.0,16.7,17.6,30.8,24.2,65.3,50.6,49.4,36.7,35.1,7.8,7.1,51.6,49.4,31.7,39.0,65.5,2021,2.6365781486699,72.1,73.6,65.38461538461539,2.0,1417,4,113,11,-205.51
Georgetown,107.16249690835,93.696589235001,0.82408494997469,13–12,13,25,49.6,48.0,30.3,25.9,21.7,16.2,32.4,27.3,70.1,46.1,47.4,36.6,32.6,10.4,7.8,51.7,56.3,38.8,39.7,70.6,2021,-1.1038004961747,75.4,68.7,52.0,3.0,1207,0,17,14,125.85999999999967
UNC Greensboro,101.6167280994,97.397696445479,0.6195560931047,21–8,21,29,48.2,48.1,23.8,36.4,15.6,21.0,32.4,25.9,70.3,50.3,48.3,30.0,31.9,11.5,6.5,44.1,49.5,38.9,42.1,69.2,2021,-3.3649345489498,68.3,70.7,72.41379310344827,0.0,1422,0,179,25,-175.99
Abilene Chr,100.94607903259,92.613568015432,0.72923302872333,19–4,19,23,52.9,45.4,34.0,42.5,19.4,26.7,30.6,27.9,71.6,50.8,46.3,37.7,29.1,8.9,10.1,66.9,48.3,36.5,34.0,70.8,2021,-1.05798250625,68.8,69.1,82.6086956521739,0.0,1101,1,335,22,386.6500000000001
Iona,100.74894727238,98.759407130815,0.55709205374898,12–5,12,17,51.2,45.6,36.1,46.3,22.5,19.6,33.5,26.2,69.8,49.9,45.8,35.5,30.1,11.9,7.3,56.0,54.3,37.6,37.9,69.3,2021,-3.1894331525335,74.3,69.1,70.58823529411765,0.0,1233,0,107,45,194.01
Mt St Mary's,95.176165544359,99.874874605814,0.36489773414961,12–10,12,22,48.7,45.5,29.7,24.6,20.3,16.4,31.9,24.8,63.8,47.7,45.6,33.7,30.1,10.9,8.3,50.6,41.3,36.3,32.8,63.0,2021,-7.2159842725511,67.8,78.4,54.54545454545455,0.0,1291,0,31,54,236.02999999999997
TX Southern,97.923519616447,103.17495365152,0.35417150864144,15–8,15,23,48.3,46.5,38.9,33.8,21.5,19.4,32.9,26.4,73.4,51.0,45.2,27.7,32.4,12.4,8.1,44.2,49.0,27.8,37.9,72.5,2021,-4.350256654057,70.8,69.8,65.21739130434783,0.0,1411,0,80,56,-457.89999999999986
Gonzaga,125.3409182426,89.617798108665,0.97932745259835,26–0,26,26,61.0,47.5,36.7,25.9,16.1,20.3,30.4,23.4,75.3,64.0,46.8,36.5,32.5,7.1,6.9,53.6,44.8,32.3,34.5,75.4,2021,8.4963882133173,72.6,70.3,100.0,5.0,1211,5,598,1,57.69999999999982
