TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,PomOrdinalRank,3P%ODDIFF
South Carolina,124.89216247263,70.57421757821,0.99859180371616,32–0,32,32,50.4,34.7,34.3,23.2,18.2,20.0,48.6,24.3,69.2,51.3,33.5,31.5,25.5,20.4,7.6,54.6,42.9,21.4,26.1,68.6,2023,14.739963354834,69.7,70.1,100.0,13.0,3376,4,971,0,8.54999999999984
Maryland,113.46345840637,81.356512112097,0.97865495372643,25–6,25,31,49.4,47.4,28.5,24.8,17.8,25.9,31.6,33.1,75.0,47.6,45.5,35.8,33.6,8.4,6.5,58.4,63.0,29.4,37.7,73.3,2023,7.8901592623794,79.0,68.8,80.64516129032258,5.0,3268,3,313,0,-214.2000000000005
Notre Dame,110.28112538319,76.5875203706,0.98512203750956,25–5,25,30,49.8,40.1,35.1,22.5,21.8,21.4,38.3,27.3,71.3,50.5,39.2,31.7,28.4,10.7,7.9,60.1,51.7,24.3,28.2,70.3,2023,7.5454491634485,71.2,69.8,83.33333333333333,5.0,3323,2,480,0,-30.569999999999936
UCLA,110.02658342223,81.666755175363,0.96856405031602,25–9,25,34,44.7,43.1,25.7,33.7,19.1,22.2,38.5,28.1,68.7,44.1,40.8,30.6,32.6,10.5,9.9,57.8,52.7,34.6,28.4,69.1,2023,6.0902812448382,77.5,74.6,73.52941176470588,5.0,3417,2,283,0,132.91999999999996
Oklahoma,117.41985877164,88.468980591751,0.96287727614031,25–6,25,31,52.0,46.2,27.2,33.0,21.3,18.5,35.5,25.7,78.3,51.0,44.9,35.8,32.3,8.3,6.7,68.1,52.2,37.3,36.8,77.0,2023,7.030950322739,74.6,71.4,80.64516129032258,6.0,3328,1,275,0,146.69999999999982
Creighton,113.54187541284,83.41876323653,0.97195317519616,22–8,22,30,52.8,44.5,19.9,24.2,17.6,18.9,27.3,25.5,66.5,51.3,45.6,36.5,28.0,6.9,7.1,64.9,55.8,43.5,30.1,66.7,2023,4.0730999810943,74.7,76.5,73.33333333333333,2.0,3166,0,298,0,744.9499999999999
Arizona,108.60740397446,82.450016843675,0.95964291473859,21–9,21,30,48.1,45.9,29.5,31.7,17.0,25.5,31.7,31.1,71.6,47.1,46.0,34.0,30.4,7.6,7.8,52.4,58.3,25.9,31.0,71.2,2023,3.475105722304,68.6,69.8,70.0,5.0,3112,1,287,0,-61.80000000000007
South Florida,109.41593662367,86.453437863809,0.93754576946056,26–6,26,32,50.8,41.9,30.6,25.4,22.4,19.7,37.9,25.9,67.6,49.6,40.0,35.5,30.8,8.2,7.2,60.6,45.5,33.0,30.7,67.5,2023,2.4429678043364,73.1,69.3,81.25,1.0,3378,1,375,0,225.94000000000005
Marquette,99.883306473128,77.680754525693,0.94740187363527,21–10,21,31,44.9,42.9,20.2,22.9,19.9,23.1,33.5,27.1,68.3,44.5,41.8,30.8,30.8,6.8,7.9,65.9,51.5,26.2,25.8,69.6,2023,2.1020172645405,77.7,70.3,67.74193548387096,2.0,3266,0,219,0,12.32000000000005
West Virginia,97.787311149232,78.790199889679,0.92301759021324,19–11,19,30,44.6,44.5,25.8,27.2,18.8,27.3,26.8,31.3,71.6,45.8,46.3,28.3,27.5,5.8,9.2,46.8,51.1,37.6,35.3,70.4,2023,1.4484694259187,70.9,68.0,63.333333333333336,4.0,3452,0,153,0,93.33000000000027
Illinois,113.28253743581,89.040848124237,0.94098206329101,22–9,22,31,51.8,44.4,22.5,30.6,18.6,19.8,35.4,28.4,69.8,49.6,45.8,37.8,27.5,8.0,6.5,49.4,50.8,30.5,30.6,68.2,2023,0.65216243785187,75.7,72.3,70.96774193548387,1.0,3228,0,337,0,311.39999999999986
Mississippi St,106.07359616733,80.562113781514,0.95944530311737,20–10,20,30,49.9,40.9,30.5,25.5,22.6,23.9,33.6,30.3,70.8,48.7,40.8,35.4,27.3,12.7,8.0,59.1,57.4,27.6,36.6,70.2,2023,0.50867985152513,66.2,65.6,66.66666666666667,1.0,3280,1,373,0,-22.1400000000001
Portland,102.70810494502,88.779106063145,0.84237501151693,21–8,21,29,51.1,45.6,30.1,22.6,23.9,24.1,31.7,35.0,68.4,52.0,44.0,32.8,33.5,6.8,7.8,66.3,55.4,34.4,24.9,68.9,2023,-1.7640263371123,73.1,73.2,72.41379310344827,0.0,3339,0,144,0,294.16999999999996
CS Sacramento,106.81699833656,93.527332461003,0.82170303885771,25–7,25,32,55.4,43.4,27.6,28.1,23.1,17.5,33.5,26.2,63.7,53.5,41.4,38.6,32.1,8.8,4.6,52.3,44.6,44.3,29.0,64.3,2023,-4.582408176298,73.4,74.7,78.125,0.0,3170,0,307,0,779.0799999999999
Southern Utah,93.941317041244,90.706522555268,0.59940147478838,21–9,21,30,47.5,42.8,29.8,24.6,23.9,15.4,31.7,27.6,70.5,49.0,42.2,29.1,29.3,11.2,5.5,54.5,52.5,28.2,32.7,70.0,2023,-4.1167449901991,75.9,67.4,70.0,0.0,3381,0,25,0,-137.49000000000012
Holy Cross,90.106498676722,90.977273851535,0.47237798834107,23–8,23,31,47.5,41.2,26.4,22.6,22.6,22.0,29.4,28.9,64.9,47.1,39.8,32.3,29.8,8.1,6.4,58.9,49.5,28.4,28.9,65.7,2023,-6.1000829849833,74.8,67.8,74.19354838709677,0.0,3221,0,209,0,56.099999999999795
Norfolk St,80.586479837464,81.116592650622,0.48115857534872,25–6,25,31,41.6,37.2,33.8,34.5,25.3,31.4,36.2,32.4,69.7,43.6,36.5,24.4,25.5,11.8,4.8,50.1,57.5,28.5,42.2,69.3,2023,-4.5023501119148,66.1,66.1,80.64516129032258,0.0,3313,0,287,0,-380.70000000000016
