TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,PomOrdinalRank,3P%ODDIFF
Stanford,122.58840881356,70.355223785504,0.99831729334071,25–2,25,27,53.2,37.2,20.6,25.1,18.5,22.5,38.5,26.1,69.2,52.1,36.2,36.9,26.0,14.9,6.1,53.7,47.0,35.9,35.0,70.5,2021,12.282947160435,71.9,67.5,92.5925925925926,10.0,3390,6,694,0,414.7099999999998
Louisville,116.33785182755,81.240925254361,0.98416253149927,23–3,23,26,52.8,41.5,22.0,29.5,17.0,22.2,34.0,30.5,70.4,52.8,41.7,35.1,27.4,11.5,4.9,50.7,49.3,33.2,29.1,69.9,2021,7.3150449328205,79.0,70.8,88.46153846153847,2.0,3257,3,439,0,367.98000000000013
Georgia,102.91474351798,75.4500643292,0.97261368574657,20–6,20,26,48.1,40.8,26.3,30.5,23.1,24.8,34.7,29.6,73.4,47.4,40.3,33.5,28.5,13.7,6.6,54.4,41.0,23.0,22.6,73.3,2021,5.5628676232789,74.2,70.1,76.92307692307692,6.0,3208,1,296,0,126.39999999999998
Arkansas,119.67444201526,89.761740505336,0.96468816632382,19–8,19,27,52.4,48.6,35.5,27.9,13.9,22.6,21.1,32.5,76.1,48.4,48.3,39.2,32.9,6.4,8.0,43.4,49.1,38.8,30.1,75.4,2021,4.7555310010392,73.5,71.1,70.37037037037037,2.0,3116,0,243,0,530.6700000000001
Missouri St,103.03759702936,79.433421525315,0.95221183266253,20–2,20,22,46.1,44.4,27.4,27.8,19.0,23.8,36.2,19.5,69.1,46.5,44.3,30.0,29.6,10.8,6.1,58.0,51.3,27.9,35.7,70.0,2021,4.0411735449495,73.5,74.0,90.9090909090909,1.0,3283,2,260,0,-219.72000000000003
Oregon,115.4765528387,80.256515498597,0.98499354847899,13–8,13,21,50.6,43.1,19.8,25.2,17.3,21.5,35.2,29.0,68.3,49.3,41.1,35.5,31.4,10.6,7.2,55.9,57.9,33.1,32.6,69.0,2021,3.6393754399335,69.7,72.3,61.904761904761905,2.0,3332,2,262,0,151.40999999999997
Northwestern,103.01655164382,76.42644004889,0.96873376460412,15–8,15,23,43.4,46.9,32.7,31.2,16.0,29.6,32.4,32.6,70.5,44.8,46.7,26.2,31.5,10.8,6.7,62.9,70.2,25.6,32.7,69.5,2021,3.2374881960408,66.0,70.6,65.21739130434783,5.0,3321,1,154,0,-359.33000000000015
Oklahoma St,104.10343182475,78.309692248164,0.96353324516848,18–8,18,26,47.4,42.1,23.3,20.9,18.9,22.7,31.0,30.1,71.9,45.9,37.7,34.4,34.7,16.0,6.6,60.3,50.4,25.8,30.6,70.8,2021,3.6378046683644,67.1,74.8,69.23076923076923,3.0,3329,1,234,0,-174.30000000000018
Wake Forest,105.9014678511,87.21567434244,0.90312487358378,12–12,12,24,46.1,47.2,30.0,21.2,19.4,18.3,30.6,32.3,68.0,45.0,47.0,32.3,31.7,5.3,8.8,43.8,51.9,30.8,29.4,67.3,2021,0.50608605163477,74.0,70.0,50.0,3.0,3448,0,-29,0,62.860000000000014
UCF,94.097305058529,75.099749512949,0.93043496510107,16–4,16,20,44.9,38.6,35.2,27.0,27.6,29.1,36.5,32.0,65.8,43.0,35.3,34.8,29.6,9.0,6.5,60.0,64.1,19.8,36.1,65.5,2021,1.5119910011759,65.0,67.4,80.0,0.0,3416,0,163,0,-379.5200000000002
South Dakota,107.34081711043,84.302194410212,0.94149806485473,18–5,18,23,50.3,44.4,31.2,30.9,16.2,23.8,31.1,25.6,69.1,50.1,38.7,33.8,35.8,10.3,4.7,51.8,49.3,33.0,37.7,68.3,2021,-0.34097347311521,73.7,68.7,78.26086956521739,0.0,3377,0,342,0,-234.26000000000022
UC Davis,97.532500570109,82.940716199533,0.86572589557871,13–2,13,15,50.7,37.2,27.6,21.5,20.3,16.3,23.0,28.0,66.4,47.9,37.0,36.6,25.0,9.5,4.4,64.1,42.5,39.9,34.4,67.4,2021,0.063232555391807,76.0,73.0,86.66666666666667,0.0,3413,0,143,0,600.3399999999999
Wright St,94.571025165895,84.54450633087,0.78395078229481,18–7,18,25,43.5,40.5,31.9,33.8,21.7,22.5,42.6,24.8,66.4,44.7,40.9,26.5,26.5,11.1,2.4,41.8,52.0,24.9,36.3,67.1,2021,-3.8374785476973,60.6,70.9,72.0,0.0,3460,1,205,0,-302.1
