TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,3P%ODDIFF
North Carolina,120.11911414591,94.275219785982,0.94191749464449,28–6,28,34,52.1,47.4,32.2,29.7,15.4,18.6,39.8,29.9,70.7,53.9,43.7,31.4,36.0,11.3,6.5,58.5,45.7,26.7,35.6,72.3,2016,8.5326131944008,73.8,69.9,82.3529411764706,4.0,1314,5,432,-443.22000000000014
Xavier,117.12166707045,94.52829257957,0.92162346538242,27–5,27,32,51.5,47.9,42.9,34.4,17.5,19.4,35.7,26.3,72.8,50.0,48.4,36.2,31.5,8.7,8.8,59.8,55.3,34.7,40.4,72.6,2016,7.728216760986,73.1,70.4,84.375,2.0,1462,1,330,-16.45999999999981
West Virginia,115.41930864439,90.212546172034,0.9444666279541,26–8,26,34,50.2,48.8,46.1,54.8,19.6,25.5,41.9,27.2,70.8,50.7,48.2,32.9,33.2,8.1,8.8,54.2,50.6,30.6,36.1,70.9,2016,7.3157034391131,67.0,71.3,76.47058823529412,4.0,1452,0,428,-191.7800000000002
Kentucky,122.27809155708,95.803133074914,0.94300073887757,26–8,26,34,53.7,44.9,38.3,41.4,16.1,17.9,37.8,31.7,68.1,52.8,43.0,37.0,33.0,13.9,7.5,50.5,39.8,31.4,29.8,68.0,2016,5.0224262793274,68.3,69.9,76.47058823529412,5.0,1246,1,388,178.39999999999998
Indiana,120.08845370811,98.029397662308,0.91165834195635,25–7,25,32,58.6,49.5,33.3,29.3,19.8,18.9,37.7,28.7,68.8,56.1,48.7,41.5,34.3,10.0,8.8,54.7,47.0,40.9,31.4,69.3,2016,3.3001918405189,72.3,66.6,78.125,2.0,1231,2,428,620.3300000000002
Notre Dame,118.4240295024,103.47929226497,0.82510885359047,21–11,21,32,53.5,49.2,33.2,26.9,14.8,14.8,32.8,31.3,65.4,52.5,45.5,36.9,37.6,9.9,8.2,49.6,52.1,34.5,34.2,65.9,2016,2.322036708923,73.5,72.0,65.625,5.0,1323,3,164,-12.870000000000118
Wisconsin,110.16060419518,95.612220292018,0.83601136061416,20–12,20,32,49.0,48.5,39.7,34.3,17.0,18.8,33.6,28.2,64.1,46.6,45.1,35.8,38.0,8.5,9.2,49.4,46.8,33.8,29.3,64.2,2016,0.48728464234474,70.7,70.7,62.5,6.0,1458,2,138,96.63999999999965
USC,113.77772958326,98.038328935035,0.84712340395553,21–12,21,33,52.0,47.3,35.3,28.5,16.5,16.9,32.4,31.9,72.9,49.2,46.7,38.5,32.3,12.7,9.4,51.3,50.3,32.4,34.4,72.3,2016,0.22651775716699,67.8,70.1,63.63636363636363,1.0,1425,0,201,136.27999999999997
Providence,108.94643583601,95.10583142994,0.82670602002986,23–10,23,33,48.1,48.8,37.7,27.8,16.3,20.7,30.9,30.2,69.8,48.1,49.2,32.1,32.1,9.2,8.8,63.0,51.2,36.9,33.6,69.5,2016,3.3480570716501,72.7,71.7,69.6969696969697,5.0,1344,1,140,105.92999999999984
Pittsburgh,115.29775997028,98.223934246713,0.86331291653084,20–11,20,31,51.3,50.5,36.6,32.6,17.4,17.1,37.4,27.5,66.4,50.7,48.7,35.1,35.8,9.4,8.5,62.9,54.9,30.8,34.3,66.6,2016,1.7717994342256,75.8,66.4,64.51612903225806,2.0,1338,0,219,-146.85999999999967
