0_ProbWin,TeamID_0,TeamID_1,0_TeamName,0_ADJOE,0_ADJDE,0_BARTHAG,0_EFG%,0_EFGD%,0_FTR,0_FTRD,0_TOR,0_TORD,0_ORB,0_DRB,0_2P%,0_2P%D,0_3P%,0_3P%D,0_3P%ODDIFF,0_3PR,0_3PRD,0_ADJ T.,0_Top30Wins,0_PomOrdinalRank,1_TeamName,1_ADJOE,1_ADJDE,1_BARTHAG,1_EFG%,1_EFGD%,1_FTR,1_FTRD,1_TOR,1_TORD,1_ORB,1_DRB,1_2P%,1_2P%D,1_3P%,1_3P%D,1_3P%ODDIFF,1_3PR,1_3PRD,1_ADJ T.,1_Top30Wins,1_PomOrdinalRank
1.0,1231.0,1461.0,Indiana,107.96654389092,90.51144746694,0.88370243401777,51.3,45.6,33.5,30.6,17.3,17.4,26.9,25.0,51.4,43.4,33.9,32.6,-232.50000000000023,31.8,40.2,68.2,3.0,9,Wyoming,108.72070143054,97.521256558869,0.77733210720617,52.4,47.2,37.0,24.5,16.7,15.8,25.6,24.1,54.5,48.3,33.0,30.3,206.78999999999974,41.8,38.7,66.8,0.0,16
0.0,1461.0,1231.0,Wyoming,108.72070143054,97.521256558869,0.77733210720617,52.4,47.2,37.0,24.5,16.7,15.8,25.6,24.1,54.5,48.3,33.0,30.3,206.78999999999974,41.8,38.7,66.8,0.0,16,Indiana,107.96654389092,90.51144746694,0.88370243401777,51.3,45.6,33.5,30.6,17.3,17.4,26.9,25.0,51.4,43.4,33.9,32.6,-232.50000000000023,31.8,40.2,68.2,3.0,9
1.0,1411.0,1394.0,TX Southern,96.904827399327,98.639978114954,0.44915288756322,48.7,44.9,32.7,34.3,21.4,17.4,33.8,28.2,49.2,45.2,31.7,29.5,-60.72000000000003,31.4,35.8,68.7,0.0,46,TAM C. Christi,96.421676281484,102.86418634641,0.32217313493656,47.3,49.1,38.4,41.6,19.9,22.7,34.7,29.0,47.3,50.5,31.6,31.5,-359.1199999999998,31.3,42.8,70.0,0.0,62
0.0,1394.0,1411.0,TAM C. Christi,96.421676281484,102.86418634641,0.32217313493656,47.3,49.1,38.4,41.6,19.9,22.7,34.7,29.0,47.3,50.5,31.6,31.5,-359.1199999999998,31.3,42.8,70.0,0.0,62,TX Southern,96.904827399327,98.639978114954,0.44915288756322,48.7,44.9,32.7,34.3,21.4,17.4,33.8,28.2,49.2,45.2,31.7,29.5,-60.72000000000003,31.4,35.8,68.7,0.0,46
1.0,1323.0,1353.0,Notre Dame,111.87589573264,97.142695878905,0.83533307384463,54.0,49.1,27.7,22.9,15.5,15.0,22.1,24.0,52.0,49.9,37.8,31.7,510.16999999999985,43.1,35.3,66.6,3.0,13,Rutgers,104.56097514781,95.63367922851,0.73620211270065,49.5,48.3,26.9,28.8,17.3,18.2,29.3,27.1,49.1,46.5,33.6,34.0,-311.7600000000002,31.4,40.2,66.1,5.0,19
0.0,1353.0,1323.0,Rutgers,104.56097514781,95.63367922851,0.73620211270065,49.5,48.3,26.9,28.8,17.3,18.2,29.3,27.1,49.1,46.5,33.6,34.0,-311.7600000000002,31.4,40.2,66.1,5.0,19,Notre Dame,111.87589573264,97.142695878905,0.83533307384463,54.0,49.1,27.7,22.9,15.5,15.0,22.1,24.0,52.0,49.9,37.8,31.7,510.16999999999985,43.1,35.3,66.6,3.0,13
1.0,1460.0,1136.0,Wright St,104.20803172186,106.86329883574,0.42816198908355,52.0,51.2,31.1,26.0,17.9,18.4,31.3,30.0,53.2,51.6,33.0,33.7,-80.04000000000019,32.5,34.2,69.6,0.0,45,Bryant,102.70220178088,104.20067200685,0.45845158923457,49.7,47.4,32.7,24.4,19.1,16.5,33.0,31.6,52.6,47.0,30.7,32.1,266.24,43.7,33.5,73.1,0.0,46
0.0,1136.0,1460.0,Bryant,102.70220178088,104.20067200685,0.45845158923457,49.7,47.4,32.7,24.4,19.1,16.5,33.0,31.6,52.6,47.0,30.7,32.1,266.24,43.7,33.5,73.1,0.0,46,Wright St,104.20803172186,106.86329883574,0.42816198908355,52.0,51.2,31.1,26.0,17.9,18.4,31.3,30.0,53.2,51.6,33.0,33.7,-80.04000000000019,32.5,34.2,69.6,0.0,45
1.0,1116.0,1436.0,Arkansas,109.36442724056,91.964433373749,0.88003517587401,49.2,47.5,37.9,32.3,17.4,20.6,30.9,25.8,50.9,46.4,30.7,32.8,-232.75,34.3,39.2,71.7,5.0,5,Vermont,108.62433968825,97.445862263464,0.77710647920088,57.3,47.7,26.6,22.6,14.9,17.1,24.0,18.6,58.9,45.2,36.8,34.4,292.6399999999999,43.1,37.6,65.9,0.0,15
0.0,1436.0,1116.0,Vermont,108.62433968825,97.445862263464,0.77710647920088,57.3,47.7,26.6,22.6,14.9,17.1,24.0,18.6,58.9,45.2,36.8,34.4,292.6399999999999,43.1,37.6,65.9,0.0,15,Arkansas,109.36442724056,91.964433373749,0.88003517587401,49.2,47.5,37.9,32.3,17.4,20.6,30.9,25.8,50.9,46.4,30.7,32.8,-232.75,34.3,39.2,71.7,5.0,5
