TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,PomOrdinalRank,3P%ODDIFF
NC State,119.03420622755,76.533181098926,0.99381482067441,29–3,29,32,52.4,40.5,22.6,18.1,17.7,20.9,34.5,25.0,69.0,51.0,39.4,36.9,28.3,7.6,8.4,48.9,45.7,32.0,34.6,68.7,2022,13.008484244312,75.6,72.6,90.625,8.0,3301,3,619,0,201.6199999999999
Connecticut,112.93815740156,74.391326943656,0.99184763810848,25–5,25,30,54.8,40.2,21.4,18.1,20.6,23.5,34.0,26.9,68.6,56.6,39.0,34.1,28.4,12.7,5.6,64.1,53.1,34.1,35.4,68.5,2022,7.0359579789054,69.7,73.6,83.33333333333333,2.0,3163,5,618,0,157.45000000000027
Indiana,106.71804187333,77.593934748619,0.97503652452265,22–8,22,30,49.1,44.1,31.1,22.2,18.4,21.5,27.5,26.3,70.3,48.9,43.9,33.1,29.8,7.8,7.4,53.4,46.6,25.4,26.5,69.6,2022,6.0612093318389,75.0,71.2,73.33333333333333,4.0,3231,2,297,0,51.039999999999964
Oklahoma,110.11153628739,84.823782552003,0.95259921129829,24–8,24,32,51.2,44.9,31.0,30.6,23.0,21.7,30.7,31.7,80.9,50.3,45.7,35.0,28.6,6.3,9.3,65.6,52.2,40.8,30.6,80.5,2022,7.7005150732847,76.3,71.5,75.0,5.0,3328,1,233,0,552.8399999999999
Notre Dame,107.14726896368,80.54980774245,0.9637809171642,22–8,22,30,49.1,44.2,23.8,17.8,20.7,23.2,33.2,28.1,72.4,49.5,42.4,31.9,31.8,12.9,7.6,60.2,52.1,27.6,33.7,71.7,2022,5.7645728689078,71.3,69.3,73.33333333333333,4.0,3323,2,311,0,-191.22000000000003
Kentucky,108.70190444191,84.236479909184,0.94941947926297,19–11,19,30,48.0,45.2,25.5,23.7,19.4,23.3,34.2,34.1,71.5,47.0,43.1,33.7,34.2,12.4,7.5,57.2,57.8,27.5,25.5,70.8,2022,3.3171014119229,69.7,70.6,63.333333333333336,3.0,3246,0,209,0,54.65000000000009
UCF,96.487170911948,72.365757324179,0.964711895611,25–3,25,28,44.3,39.0,28.4,22.6,24.5,30.7,39.8,32.1,64.8,43.5,35.4,31.6,30.0,10.9,6.4,60.1,68.8,19.9,37.9,64.7,2022,5.0945398304453,71.6,65.4,89.28571428571429,0.0,3416,1,370,0,-508.15999999999997
Washington St,98.948358264723,81.824015940752,0.89892291062711,19–10,19,29,44.7,44.7,20.4,24.9,21.0,23.0,30.5,31.8,65.8,42.7,42.5,32.1,33.0,10.9,8.7,58.9,50.9,37.0,31.4,66.3,2022,4.019984315741,71.6,74.3,65.51724137931035,2.0,3450,0,12,0,151.5
Kansas St,101.48817818218,78.697828327497,0.9490568181622,19–12,19,31,45.8,42.4,28.0,27.4,19.4,22.5,27.4,28.6,69.7,47.2,40.4,28.6,31.4,13.0,9.2,69.9,55.2,32.5,29.7,69.2,2022,2.3589225110165,75.5,70.2,61.29032258064516,3.0,3243,1,202,0,-3.0799999999999272
Florida,99.614114901646,81.464020821622,0.9099592698257,21–10,21,31,45.3,42.8,27.1,33.6,22.8,23.3,32.0,30.4,73.2,44.6,42.6,31.3,29.1,7.3,7.8,49.8,44.9,28.4,22.5,73.1,2022,2.7950584407146,73.7,68.1,67.74193548387096,2.0,3196,0,121,0,234.16999999999996
