TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,PomOrdinalRank,3P%ODDIFF
Connecticut,126.80453879664,94.120024064763,0.9685644068824,31–3,31,34,57.1,45.1,33.3,32.5,14.9,16.2,36.5,26.8,66.2,58.5,43.7,36.7,31.9,14.2,8.3,63.7,46.0,40.9,33.2,65.6,2024,11.237196330171,74.2,72.2,91.17647058823529,11.0,1163,6,580,1,441.9499999999998
Iowa St,113.42761505974,87.483979364359,0.95196762509975,27–7,27,34,51.9,47.1,36.1,35.2,15.7,25.7,31.6,29.4,68.2,51.7,46.9,34.9,31.5,10.8,8.7,58.0,58.9,32.0,45.0,68.5,2024,6.274264189786,69.7,71.2,79.41176470588235,6.0,1235,2,485,2,-300.70000000000005
Illinois,124.3373160234,100.69571641316,0.91873567716465,26–8,26,34,53.8,48.0,37.8,27.1,15.1,12.3,36.2,26.1,70.5,54.7,46.6,34.9,34.3,8.2,8.3,44.4,42.6,38.3,27.9,70.8,2024,5.556308404897,74.5,71.7,76.47058823529412,5.0,1228,3,361,3,379.69999999999993
Auburn,120.50358001189,92.149327528894,0.95627369799863,27–7,27,34,54.1,43.4,38.2,41.0,14.9,18.2,32.9,30.3,71.0,54.9,42.8,35.2,29.8,16.0,8.6,62.0,42.8,37.5,33.3,70.8,2024,5.2113725935136,75.2,73.6,79.41176470588235,2.0,1120,0,520,1,327.6600000000001
San Diego St,111.772637483,94.408040168924,0.87453508591973,22–10,22,32,49.8,47.2,37.5,33.3,16.0,18.0,32.7,28.0,67.0,51.6,48.3,31.3,30.5,11.9,8.9,50.8,48.6,37.8,40.5,67.1,2024,2.1711402318407,72.9,70.1,68.75,2.0,1361,2,219,6,-52.11000000000013
BYU,120.24125531304,98.462358410101,0.9087110463347,23–10,23,33,55.1,48.0,25.3,32.1,15.2,16.0,32.8,24.7,70.0,58.0,48.2,34.8,31.8,7.7,7.1,63.2,47.2,50.7,34.1,70.0,2024,2.3057005602201,73.8,69.8,69.6969696969697,3.0,1140,0,394,4,679.9799999999998
Washington St,112.64752595172,96.952618491823,0.84883272236132,24–9,24,33,52.1,47.3,31.7,32.7,16.1,15.9,32.9,24.9,66.7,52.6,46.9,34.0,32.0,12.2,6.6,45.7,44.3,32.0,31.5,65.9,2024,1.832104064326,70.1,73.5,72.72727272727273,2.0,1450,1,245,11,80.0
FL Atlantic,117.5825457178,102.46579592431,0.82956294350508,25–8,25,33,55.0,49.7,34.8,27.5,15.8,16.5,33.8,29.2,69.0,56.0,49.3,35.6,33.6,7.8,6.7,51.0,37.9,38.8,36.3,68.9,2024,1.1411331792307,72.0,72.7,75.75757575757575,1.0,1194,0,306,11,161.5999999999999
Northwestern,116.34378989193,99.689038286003,0.85528625373855,21–11,21,32,53.2,51.6,29.9,39.4,13.3,18.8,25.7,28.2,64.6,49.7,50.3,39.4,35.9,9.9,10.3,59.6,58.7,36.8,36.9,64.7,2024,1.1091131986201,74.8,72.0,65.625,3.0,1321,1,150,12,125.21000000000004
Drake,114.55594657061,100.19164615195,0.82357413723573,27–6,27,33,54.9,51.0,32.6,31.0,13.9,17.4,24.2,22.1,68.7,55.1,51.9,36.5,33.0,4.5,7.2,55.9,41.6,39.6,39.3,68.8,2024,1.6231341415471,76.3,70.2,81.81818181818181,0.0,1179,0,319,13,148.50000000000023
