TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,3P%ODDIFF
Baylor,117.4986960698,90.715058861255,0.95143620905204,26–6,26,32,52.9,47.8,28.5,26.9,18.2,22.9,36.3,28.4,68.5,53.5,49.5,34.6,29.9,9.6,7.3,56.1,55.5,37.7,35.9,68.6,2022,8.9013775750893,69.8,70.1,81.25,8.0,1124,1,412,231.01000000000022
Kentucky,119.1036522947,93.870021185153,0.93922949522894,26–7,26,33,53.3,46.5,27.2,25.1,16.6,17.4,37.8,24.9,69.3,53.7,47.2,34.9,30.3,11.0,6.4,53.0,46.2,28.1,36.0,68.8,2022,6.8645509124765,73.0,71.5,78.78787878787878,5.0,1246,0,444,-110.1099999999999
Purdue,122.63005888206,97.516121635686,0.93309768102296,27–7,27,34,57.0,49.6,36.3,21.4,17.3,14.1,35.2,23.6,66.6,55.9,49.2,39.1,33.5,9.9,6.7,58.9,53.1,39.1,41.0,66.8,2022,6.9998614910975,70.3,72.0,79.41176470588235,6.0,1345,2,375,155.31000000000017
UCLA,115.13383955908,91.629914488005,0.93250877667068,25–7,25,32,50.6,47.7,29.8,29.2,13.4,19.7,31.9,24.8,67.2,49.6,47.3,35.2,32.2,9.5,7.9,49.9,51.1,31.5,37.8,66.8,2022,5.0482506526856,73.6,72.3,78.125,2.0,1417,2,370,-108.3599999999999
St Mary's CA,107.80746389695,90.103906150652,0.88724550079125,24–7,24,31,52.6,48.3,23.2,24.4,17.1,19.5,27.3,21.9,65.6,52.6,47.0,35.1,34.4,6.5,8.8,51.0,35.9,36.1,28.8,64.8,2022,3.9319772929256,76.7,71.4,77.41935483870968,2.0,1388,1,259,276.3900000000001
Texas,111.54730667703,90.498861438415,0.91719125323402,21–11,21,32,50.1,46.5,32.3,36.8,18.2,23.3,31.9,30.0,64.2,50.9,46.1,32.3,31.6,10.1,9.3,53.3,43.9,36.0,33.7,64.1,2022,3.3508025380467,74.9,66.9,65.625,4.0,1400,1,279,97.87999999999988
Murray St,109.62371619674,95.010750370734,0.83824566318403,27–2,27,29,52.9,48.0,31.1,24.6,17.1,21.0,35.5,25.4,67.5,53.5,50.0,34.7,30.1,9.5,10.5,50.2,45.5,37.7,40.6,67.0,2022,3.5083357530606,69.8,67.6,93.10344827586206,1.0,1293,1,406,86.13000000000011
North Carolina,112.82530527387,95.906519702738,0.86626920176585,24–9,24,33,52.1,49.8,29.6,21.5,16.5,14.1,30.4,20.8,70.2,50.7,48.3,36.2,34.9,9.7,8.5,53.6,48.0,37.4,36.9,71.2,2022,4.2537974129264,77.2,73.7,72.72727272727273,3.0,1314,5,191,66.07000000000016
Marquette,107.90987818095,95.354606834064,0.80572665319838,19–12,19,31,52.6,46.7,26.8,29.7,17.3,19.1,22.4,31.4,71.5,52.9,46.2,34.7,31.7,12.7,9.1,59.4,54.9,41.7,35.6,72.2,2022,0.54264889283772,74.7,69.9,61.29032258064516,3.0,1266,0,109,318.47000000000025
San Francisco,109.43667835659,92.173250830006,0.87806960845851,23–9,23,32,53.1,46.9,28.4,32.2,18.1,18.5,30.3,23.8,70.6,53.9,48.4,34.7,28.9,11.5,9.0,47.0,43.2,44.4,30.4,69.9,2022,1.6312476827548,69.2,71.0,71.875,0.0,1362,0,298,662.1200000000001
