TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,Unnamed: 15,2P%,2P%D,3P%,3P%D,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,3PR,3PRD,ADJ T.,Unnamed: 30,WAB,Unnamed: 35,Unnamed: 36,WinPercentage,Top30Wins,TeamID,Tournament Wins,PointDIFF,3P%ODDIFF
Villanova,120.66418919929,91.354265594361,0.96083667685262,32–2,32,34,55.3,45.5,42.4,30.3,16.6,21.7,32.7,31.1,65.1,53.1,45.2,38.9,30.8,10.9,8.7,62.8,53.7,43.0,32.5,64.8,2015,11.22742574069,72.7,67.5,94.11764705882354,8.0,1437,1,523,671.7
Virginia,113.21490606696,83.330010219417,0.97137715060347,29–3,29,32,51.2,41.7,34.2,27.9,16.1,18.1,34.0,24.3,58.5,50.1,39.5,36.1,30.3,13.5,7.1,54.3,49.9,27.3,36.5,58.3,2015,9.9215414427223,72.3,64.7,90.625,8.0,1438,1,467,-120.41999999999996
Oklahoma,109.99860917856,87.266412893556,0.93476345857817,22–10,22,32,49.4,43.7,32.7,28.9,17.7,20.2,30.9,31.5,68.2,48.4,42.4,34.3,30.9,12.9,10.2,48.9,49.0,33.6,33.7,68.1,2015,4.2493229044403,73.5,65.4,68.75,6.0,1328,2,294,111.15000000000009
Louisville,107.86757655212,86.615034209441,0.92576987680304,24–8,24,32,47.8,43.4,38.8,34.7,17.8,21.8,35.1,30.9,66.2,48.9,43.3,30.4,29.3,14.8,7.0,47.8,55.5,32.6,31.4,66.0,2015,5.6608715468689,66.0,65.2,75.0,4.0,1257,3,310,71.01999999999998
Northern Iowa,114.04885543733,92.156765974723,0.92063906306969,30–3,30,33,56.2,45.1,40.2,26.7,18.0,19.3,26.9,26.9,57.4,53.9,43.8,39.7,31.6,8.1,8.3,53.6,47.7,40.0,38.1,58.5,2015,5.562426197232,72.6,71.5,90.9090909090909,2.0,1320,1,365,384.03999999999996
Providence,111.78568254711,94.035010888099,0.87958834554861,22–11,22,33,48.6,48.1,41.6,38.5,17.9,19.7,35.3,29.5,65.7,49.4,47.0,31.0,33.3,13.6,7.9,57.5,54.2,28.4,35.8,65.8,2015,3.5524583135474,71.0,68.8,66.66666666666667,5.0,1344,0,156,-311.7399999999999
Michigan St,114.77037419097,92.55876698887,0.92226526430892,23–11,23,34,53.8,45.7,31.9,37.7,17.9,17.0,34.6,26.0,63.2,51.6,44.1,38.6,32.3,13.2,7.3,64.6,50.5,34.7,35.3,64.1,2015,2.9734851238658,63.3,71.7,67.6470588235294,4.0,1277,4,288,199.23000000000025
NC State,113.29098915071,97.293576879438,0.85202929515254,20–13,20,33,49.6,45.5,36.1,34.1,16.2,15.4,34.1,30.5,64.5,47.4,43.6,36.1,33.2,13.6,10.1,46.7,51.5,32.4,31.3,64.9,2015,1.0337359314963,68.5,70.3,60.60606060606061,3.0,1301,2,164,130.48000000000002
LSU,107.10079912641,93.661050135299,0.82375705892402,22–10,22,32,50.5,44.6,33.4,30.0,20.5,19.2,34.0,33.0,69.8,50.3,43.6,33.9,31.3,14.0,8.8,57.7,47.2,28.5,28.9,70.3,2015,0.4491605338924,68.9,66.2,68.75,4.0,1261,0,191,61.58000000000004
Georgia,107.84840486122,93.152188972586,0.8435203213818,21–11,21,32,48.9,44.2,47.8,34.3,19.3,16.8,32.3,28.9,64.8,47.7,43.0,34.4,31.0,12.6,10.6,55.4,46.8,31.3,35.4,64.7,2015,1.5246724621768,68.9,70.3,65.625,1.0,1208,0,133,-20.679999999999836
Dayton,106.53051615799,94.823912819403,0.79227827627781,25–8,25,33,52.8,47.3,48.6,31.1,17.8,21.1,24.2,28.0,64.4,52.9,47.1,35.1,31.8,7.2,11.7,60.8,54.7,37.4,32.8,64.0,2015,0.90282454748979,68.3,68.0,75.75757575757575,1.0,1173,1,241,269.70000000000005
Wyoming,102.70060565284,97.613463966044,0.64204007111943,23–9,23,32,52.1,46.7,41.0,26.7,18.7,18.1,22.1,26.9,58.4,54.6,44.0,32.3,34.4,8.7,8.7,66.6,48.6,39.7,35.2,59.1,2015,-1.347631306007,70.9,69.8,71.875,1.0,1461,0,144,71.42999999999984
UC Irvine,105.02855660322,97.271017743262,0.70732113705133,19–12,19,31,50.7,44.7,31.0,36.1,18.0,17.3,29.8,30.7,64.0,47.7,42.3,38.3,33.6,12.0,7.7,56.5,49.3,30.5,29.1,64.1,2015,-4.3138518270442,68.3,69.8,61.29032258064516,0.0,1414,0,104,190.38999999999976
SUNY Albany,104.72140013143,102.12071896231,0.57180036118889,24–8,24,32,50.1,49.6,39.9,30.4,19.0,20.3,32.5,25.5,61.2,48.1,45.9,36.0,36.5,5.6,10.4,47.3,55.1,34.1,41.6,61.5,2015,-2.9925582420185,76.1,69.8,75.0,0.0,1107,0,169,-290.79999999999995
Belmont,107.32927522218,106.45192192329,0.52358049951706,21–10,21,31,56.5,51.3,33.0,27.7,20.3,18.7,29.2,29.5,67.4,56.3,51.2,37.9,34.3,5.4,12.4,58.9,51.4,48.0,36.9,67.5,2015,-4.4208456855697,69.0,70.6,67.74193548387096,0.0,1125,0,112,553.53
Lafayette,110.56733997284,113.71000766654,0.42011369430946,19–12,19,31,56.3,52.9,31.0,27.6,16.9,16.9,27.6,34.4,64.6,53.0,50.8,41.4,37.6,7.1,8.6,58.2,51.6,35.4,37.1,65.2,2015,-6.7961031484645,76.5,70.0,61.29032258064516,0.0,1248,0,33,70.59999999999991
Duke,124.5976033502,93.060806796819,0.96630457268826,29–4,29,33,56.9,47.4,40.2,24.9,16.8,18.7,37.4,30.1,66.6,56.3,47.1,38.6,32.0,8.9,8.4,54.2,47.6,34.5,27.7,66.8,2015,10.556921859204,69.1,69.6,87.87878787878788,9.0,1181,6,496,445.30000000000007
Gonzaga,120.37392185467,92.866590376906,0.95182532496225,31–2,31,33,58.4,43.6,39.1,31.6,16.3,17.6,33.9,28.6,65.0,57.1,41.4,40.8,32.3,8.3,6.1,57.5,44.9,32.1,30.5,65.1,2015,7.872621778213,68.9,66.1,93.93939393939394,3.0,1211,3,565,324.5300000000002
Iowa St,118.0870813124,96.714058981659,0.90855608825605,25–8,25,33,54.7,47.9,37.4,24.3,15.8,18.5,28.5,29.2,69.9,54.7,45.4,36.6,35.2,9.4,9.0,58.3,56.2,36.8,34.6,69.9,2015,6.7917366953014,69.6,73.2,75.75757575757575,9.0,1235,0,300,128.9599999999998
Georgetown,111.4826319114,93.182956293837,0.88715412261178,21–10,21,31,50.9,46.6,44.1,43.9,19.2,20.6,34.3,31.3,64.7,50.4,42.7,34.7,35.9,14.5,10.3,54.4,53.5,31.6,35.1,64.7,2015,3.6016978340591,70.2,70.7,67.74193548387096,4.0,1207,1,188,-163.5699999999997
Utah,115.120916199,88.864862159341,0.95152240002526,23–8,23,31,55.6,42.7,42.8,34.5,17.8,18.3,31.3,28.1,62.7,52.8,40.9,40.2,31.6,13.5,10.4,57.7,43.8,37.8,28.3,61.5,2015,3.654636783741,70.2,67.3,74.19354838709677,2.0,1428,2,449,625.2799999999999
SMU,111.18935545426,94.497081774864,0.86653411126906,26–6,26,32,52.4,45.5,44.1,31.2,19.7,20.0,36.9,29.3,63.0,51.9,43.1,36.0,32.2,14.0,8.8,63.1,61.6,22.9,45.7,63.7,2015,3.2961937476936,70.5,68.0,81.25,0.0,1374,0,310,-647.1400000000002
