TeamName,Tournament Wins,WinPercentage,PointDIFF,WAB,Top30Wins
Michigan,3,83.33333333333333,261,7.0648254920579,6.0
Alabama,2,80.0,294,6.8676933425676,4.0
Texas,0,73.07692307692308,167,4.1391750873041,3.0
Florida St,2,72.72727272727273,189,2.3892747929294,0.0
Colorado,1,73.33333333333333,293,4.8617582119052,4.0
BYU,0,76.0,218,3.5480456198921,1.0
Connecticut,0,68.18181818181819,174,2.0310038849877,1.0
LSU,1,66.66666666666667,183,2.2446527544047,1.0
St Bonaventure,0,80.0,203,1.8712142374979,0.0
Maryland,1,53.57142857142857,69,0.061590016052011,2.0
UCLA,4,65.38461538461539,113,2.6365781486699,2.0
Georgetown,0,52.0,17,-1.1038004961747,3.0
UNC Greensboro,0,72.41379310344827,179,-3.3649345489498,0.0
Abilene Chr,1,82.6086956521739,335,-1.05798250625,0.0
Iona,0,70.58823529411765,107,-3.1894331525335,0.0
TX Southern,0,65.21739130434783,80,-4.350256654057,0.0
Gonzaga,5,100.0,598,8.4963882133173,5.0
Iowa,1,72.41379310344827,343,5.488506894757,5.0
Kansas,1,70.37037037037037,171,4.3158924675204,3.0
Virginia,0,75.0,196,3.528849693819,1.0
Creighton,2,71.42857142857143,243,3.2475962538537,4.0
USC,3,75.86206896551724,280,5.5396927708612,4.0
Oregon,2,76.92307692307692,181,4.7512246944477,3.0
Oklahoma,1,60.0,138,0.28107950082457,3.0
Missouri,0,64.0,43,2.0689816409731,5.0
VCU,0,73.07692307692308,170,1.0062472805734,1.0
Drake,0,85.18518518518519,302,1.7748849618929,1.0
UC Santa Barbara,0,83.33333333333333,248,0.1219355825991,0.0
Ohio,1,68.18181818181819,155,-1.9902595602527,0.0
E Washington,0,68.18181818181819,174,-3.1243831277918,0.0
Grand Canyon,0,70.0,192,-2.8754373761506,0.0
Norfolk St,0,66.66666666666667,96,-5.0353582970065,0.0
Illinois,1,79.3103448275862,353,8.8118908569229,8.0
Houston,4,88.46153846153847,468,4.0432421643717,2.0
West Virginia,1,66.66666666666667,140,2.998782712576,4.0
Oklahoma St,1,71.42857142857143,117,4.8249497592118,5.0
Tennessee,0,69.23076923076923,241,2.3348227137763,1.0
San Diego St,0,84.61538461538461,323,3.073994947048,1.0
Clemson,0,69.56521739130434,76,2.8964093488298,3.0
Loyola-Chicago,2,84.61538461538461,382,1.8395872562372,0.0
Georgia Tech,0,68.0,138,1.8493421208614,2.0
Rutgers,1,57.69230769230769,45,1.7512972570269,2.0
Syracuse,2,64.0,128,0.53877408816018,0.0
Oregon St,3,57.142857142857146,-4,0.379675229577,5.0
Liberty,0,79.16666666666667,264,-1.6901920505817,0.0
Morehead St,0,75.0,115,-1.939432197483,0.0
Cleveland St,0,73.07692307692308,23,-2.6847534207406,0.0
Drexel,0,63.1578947368421,88,-4.4619669396427,0.0
Baylor,6,91.66666666666667,431,6.6796560144947,6.0
Ohio St,0,70.0,191,5.9985298790227,7.0
Arkansas,3,78.57142857142857,328,4.554536910334,1.0
Purdue,0,66.66666666666667,130,3.7256218300868,3.0
Villanova,2,72.72727272727273,185,3.0598262489824,2.0
Texas Tech,1,62.96296296296296,260,0.90935465821457,2.0
Florida,1,60.869565217391305,95,1.1716822571038,1.0
North Carolina,0,64.28571428571429,176,2.4490227276078,2.0
Wisconsin,1,58.62068965517241,154,2.0604173664529,2.0
Virginia Tech,0,71.42857142857143,139,0.89474067860696,1.0
Utah St,0,70.37037037037037,283,-1.1348632597694,2.0
Winthrop,0,95.83333333333333,306,0.99339485275461,0.0
North Texas,1,64.0,191,-2.4411430697088,0.0
Colgate,0,93.33333333333333,266,0.36960620494745,0.0
Oral Roberts,2,56.52173913043478,42,-4.9387143880974,0.0
Hartford,0,65.21739130434783,60,-4.8771694578237,0.0
