"TeamName","Expected Tournament Wins"
"Michigan","2.17701896894056"
"Alabama","2.07144381748727"
"Texas","1.25520512095346"
"Florida St","0.857167253185016"
"Colorado","1.7976339512957"
"BYU","1.07258151069334"
"Connecticut","0.923339727910998"
"LSU","0.944917599591307"
"St Bonaventure","0.691041585357617"
"Maryland","0.724791001394037"
"Michigan St","0.712270799200592"
"UCLA","0.921452170504855"
"Georgetown","0.54786697743013"
"UNC Greensboro","0.216186441950769"
"Abilene Chr","0.441775779563582"
"Iona","0.129801461721758"
"Mt St Mary's","0.0530151797761013"
"TX Southern","0.0858097903322316"
"Gonzaga","2.9228418559783"
"Iowa","2.21521260008923"
"Kansas","1.35341326725633"
"Virginia","1.07804629742706"
"Creighton","1.43803730202659"
"USC","1.84836385140214"
"Oregon","1.28613552216614"
"Oklahoma","0.830918646164515"
"Missouri","0.936357311715147"
"VCU","0.645034285378973"
"Drake","0.772960795087452"
"Wichita St","0.444847272361244"
"UC Santa Barbara","0.456166943699835"
"Ohio","0.31842763967862"
"E Washington","0.233684460454416"
"Grand Canyon","0.252934927997979"
"Appalachian St","0.0455339053890283"
"Norfolk St","0.0842521671696679"
"Illinois","3.08219520269208"
"Houston","1.64825201574826"
"West Virginia","1.22030019720107"
"Oklahoma St","1.4446832606964"
"Tennessee","1.05777541864798"
"San Diego St","1.09691263219009"
"Clemson","0.897614637075182"
"Loyola-Chicago","0.989546240421761"
"Georgia Tech","0.86318126374864"
"Rutgers","0.81672428172525"
"Syracuse","0.590417225296596"
"Oregon St","0.650881917293011"
"Liberty","0.331017262079476"
"Morehead St","0.198080341268178"
"Cleveland St","0.119455291931382"
"Drexel","0.129947370451131"
"Baylor","2.39374434933795"
"Ohio St","2.16121525037869"
"Arkansas","1.43999451935407"
"Purdue","1.26148549846774"
"Villanova","1.10726301015389"
"Texas Tech","1.07793735330579"
"Florida","0.714228247054104"
"North Carolina","1.08789006807416"
"Wisconsin","1.12961096245337"
"Virginia Tech","0.597213003164588"
"Utah St","0.70744975826141"
"Winthrop","0.444230541903042"
"North Texas","0.366061641778059"
"Colgate","0.387232940387042"
"Oral Roberts","0.117206048127934"
"Hartford","0.083764060599691"
